REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
AUS,TOTNRJAG,TOE,1990,1300996000.0,3
AUS,TOTNRJAG,TOE,1991,1318651000.0,3
AUS,TOTNRJAG,TOE,1992,1341609000.0,3
AUS,TOTNRJAG,TOE,1993,1368544000.0,3
AUS,TOTNRJAG,TOE,1994,1417054000.0,3
AUS,TOTNRJAG,TOE,1995,1451326000.0,3
AUS,TOTNRJAG,TOE,1996,1456076000.0,3
AUS,TOTNRJAG,TOE,1997,1509208000.0,3
AUS,TOTNRJAG,TOE,1998,1541839000.0,3
AUS,TOTNRJAG,TOE,1999,1579865000.0,3
AUS,TOTNRJAG,TOE,2000,1606048000.0,3
AUS,TOTNRJAG,TOE,2001,1613801000.0,3
AUS,TOTNRJAG,TOE,2002,1778193000.0,3
AUS,TOTNRJAG,TOE,2003,2227224000.0,3
AUS,TOTNRJAG,TOE,2004,2224116000.0,3
AUS,TOTNRJAG,TOE,2005,2310086000.0,3
AUS,TOTNRJAG,TOE,2006,2169003000.0,3
AUS,TOTNRJAG,TOE,2007,2145237000.0,3
AUS,TOTNRJAG,TOE,2008,2164199000.0,3
AUS,TOTNRJAG,TOE,2009,2139569000.0,3
AUS,TOTNRJAG,TOE,2010,2191270000.0,3
AUS,TOTNRJAG,TOE,2011,2163711000.0,3
AUS,TOTNRJAG,TOE,2012,2208842000.0,3
AUS,TOTNRJAG,TOE,2013,2233360000.0,3
AUS,TOTNRJAG,TOE,2014,2241889000.0,3
AUS,TOTNRJAG,TOE,2015,2350530000.0,3
AUS,TOTNRJAG,TOE,2016,2466553000.0,3
AUS,TOTNRJAG,TOE,2017,2611642000.0,3
AUS,TOTNRJAG,TOE,2018,2640451000.0,3
AUS,TOTNRJAG,TOE,2019,2222152000.0,3
AUS,TOTNRJAG,TOE,2020,1978824000.0,3
AUS,TOTNRJAG,TOE,2021,2666092000.0,3
AUT,TOTNRJAG,TOE,1990,582686000.0,3
AUT,TOTNRJAG,TOE,1991,588340000.0,3
AUT,TOTNRJAG,TOE,1992,570565000.0,3
AUT,TOTNRJAG,TOE,1993,544795000.0,3
AUT,TOTNRJAG,TOE,1994,512494000.0,3
AUT,TOTNRJAG,TOE,1995,538454000.0,3
AUT,TOTNRJAG,TOE,1996,560976000.0,3
AUT,TOTNRJAG,TOE,1997,561697000.0,3
AUT,TOTNRJAG,TOE,1998,554767000.0,3
AUT,TOTNRJAG,TOE,1999,542946000.0,3
AUT,TOTNRJAG,TOE,2000,524714000.0,3
AUT,TOTNRJAG,TOE,2001,539917000.0,3
AUT,TOTNRJAG,TOE,2002,524767000.0,3
AUT,TOTNRJAG,TOE,2003,538360000.0,3
AUT,TOTNRJAG,TOE,2004,545463000.0,3
AUT,TOTNRJAG,TOE,2005,524552000.0,3
AUT,TOTNRJAG,TOE,2006,521085000.00000006,3
AUT,TOTNRJAG,TOE,2007,512751000.0,3
AUT,TOTNRJAG,TOE,2008,519338000.0,3
AUT,TOTNRJAG,TOE,2009,511615000.0,3
AUT,TOTNRJAG,TOE,2010,532354000.0,3
AUT,TOTNRJAG,TOE,2011,517067000.0,3
AUT,TOTNRJAG,TOE,2012,524084000.0,3
AUT,TOTNRJAG,TOE,2013,547441000.0,3
AUT,TOTNRJAG,TOE,2014,527659000.0,3
AUT,TOTNRJAG,TOE,2015,534342000.0,3
AUT,TOTNRJAG,TOE,2016,546585000.0,3
AUT,TOTNRJAG,TOE,2017,553494000.0,3
AUT,TOTNRJAG,TOE,2018,530747000.0,3
