REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
AUS,TR,T_CO2E,2021,90192360000.0,3
AUS,IPP,T_CO2E,2021,32992299000.0,3
AUS,EI,T_CO2E,2021,198077779000.0,3
AUS,AGR,T_CO2E,2021,78254244000.0,3
AUS,OTH,T_CO2E,2021,71170929000.0,3
AUS,MIC,T_CO2E,2021,42412979000.0,3
AUS,WASTE,T_CO2E,2021,13358220000.0,3
AUT,WASTE,T_CO2E,2021,1210576000.0,3
AUT,OTH,T_CO2E,2021,10432001000.0,3
AUT,TR,T_CO2E,2021,21932190000.0,3
AUT,IPP,T_CO2E,2021,16958648000.0,3
AUT,MIC,T_CO2E,2021,10923187000.0,3
AUT,EI,T_CO2E,2021,8854586000.0,3
AUT,AGR,T_CO2E,2021,7221163000.0,3
BEL,WASTE,T_CO2E,2021,1250825000.0,3
BEL,OTH,T_CO2E,2021,26057272000.0,3
BEL,IPP,T_CO2E,2021,18182549000.0,3
BEL,TR,T_CO2E,2021,23860731000.0,3
BEL,MIC,T_CO2E,2021,13994971000.0,3
BEL,EI,T_CO2E,2021,18191197000.0,3
BEL,AGR,T_CO2E,2021,9414187000.0,3
CAN,EI,T_CO2E,2021,177238082000.0,3
CAN,IPP,T_CO2E,2021,51943381000.0,3
CAN,WASTE,T_CO2E,2021,21057255000.0,3
CAN,TR,T_CO2E,2021,148994907000.0,3
CAN,OTH,T_CO2E,2021,150810480000.0,3
CAN,MIC,T_CO2E,2021,66139795000.0,3
CAN,AGR,T_CO2E,2021,54243758000.0,3
CZE,AGR,T_CO2E,2021,7844543000.0,3
CZE,TR,T_CO2E,2021,18937282000.0,3
CZE,EI,T_CO2E,2021,41053535000.0,3
CZE,OTH,T_CO2E,2021,15778543000.0,3
CZE,MIC,T_CO2E,2021,12892674000.0,3
CZE,WASTE,T_CO2E,2021,5702107000.0,3
CZE,IPP,T_CO2E,2021,16173007000.0,3
DNK,IPP,T_CO2E,2021,1934135000.0,3
DNK,OTH,T_CO2E,2021,5142381000.0,3
DNK,TR,T_CO2E,2021,12478465000.0,3
DNK,WASTE,T_CO2E,2021,1260541000.0,3
DNK,AGR,T_CO2E,2021,12171548000.0,3
DNK,MIC,T_CO2E,2021,3919970000.0,3
DNK,EI,T_CO2E,2021,8608539000.0,3
EST,MIC,T_CO2E,2021,398819000.0,3
EST,AGR,T_CO2E,2021,1583940000.0,3
EST,IPP,T_CO2E,2021,295939000.0,3
EST,TR,T_CO2E,2021,2350646000.0,3
EST,EI,T_CO2E,2021,6994682000.0,3
EST,WASTE,T_CO2E,2021,317158000.0,3
EST,OTH,T_CO2E,2021,673988000.0,3
FIN,IPP,T_CO2E,2021,5346858000.0,3
FIN,AGR,T_CO2E,2021,6303107000.0,3
FIN,TR,T_CO2E,2021,9975335000.0,3
FIN,WASTE,T_CO2E,2021,1818035000.0,3
FIN,EI,T_CO2E,2021,13389605000.0,3
FIN,OTH,T_CO2E,2021,4557944000.0,3
