REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
AUS,CH4_LULUCF,T_CO2E,2021,12428599000.0,3
AUS,CO2_LULUCF,T_CO2E,2021,-79383671000.0,3
AUS,N2O_LULUCF,T_CO2E,2021,3094090000.0,3
AUT,CH4_LULUCF,T_CO2E,2021,27118000.0,3
AUT,CO2_LULUCF,T_CO2E,2021,-10540871000.0,3
AUT,N2O_LULUCF,T_CO2E,2021,112053000.0,3
BEL,CH4_LULUCF,T_CO2E,2021,294000.0,3
BEL,CO2_LULUCF,T_CO2E,2021,-427612000.0,3
BEL,N2O_LULUCF,T_CO2E,2021,102950000.0,3
CAN,CO2_LULUCF,T_CO2E,2021,-18170720000.0,3
CAN,CH4_LULUCF,T_CO2E,2021,552610000.0,3
CAN,N2O_LULUCF,T_CO2E,2021,315539000.0,3
CZE,CO2_LULUCF,T_CO2E,2021,8342098000.0,3
CZE,CH4_LULUCF,T_CO2E,2021,8731000.0,3
CZE,N2O_LULUCF,T_CO2E,2021,7182000.0,3
DNK,CH4_LULUCF,T_CO2E,2021,290781000.0,3
DNK,N2O_LULUCF,T_CO2E,2021,40379000.0,3
DNK,CO2_LULUCF,T_CO2E,2021,2125189000.0,3
EST,CO2_LULUCF,T_CO2E,2021,2535165000.0,3
EST,CH4_LULUCF,T_CO2E,2021,75311000.0,3
EST,N2O_LULUCF,T_CO2E,2021,272098000.0,3
FIN,N2O_LULUCF,T_CO2E,2021,1784059000.0,3
FIN,CO2_LULUCF,T_CO2E,2021,-2148639000.0,3
FIN,CH4_LULUCF,T_CO2E,2021,851188000.0,3
FRA,N2O_LULUCF,T_CO2E,2021,1129004000.0,3
FRA,CH4_LULUCF,T_CO2E,2021,1190757000.0,3
FRA,CO2_LULUCF,T_CO2E,2021,-19108556000.0,3
DEU,CO2_LULUCF,T_CO2E,2021,-3732723000.0,3
DEU,CH4_LULUCF,T_CO2E,2021,6567328000.0,3
DEU,N2O_LULUCF,T_CO2E,2021,1163796000.0,3
GRC,CO2_LULUCF,T_CO2E,2021,-5653651000.0,3
GRC,N2O_LULUCF,T_CO2E,2021,23740000.0,3
GRC,CH4_LULUCF,T_CO2E,2021,153681000.0,3
HUN,N2O_LULUCF,T_CO2E,2021,30570000.0,3
HUN,CO2_LULUCF,T_CO2E,2021,-7240663000.0,3
HUN,CH4_LULUCF,T_CO2E,2021,12710000.0,3
ISL,CH4_LULUCF,T_CO2E,2021,3754809000.0,3
ISL,CO2_LULUCF,T_CO2E,2021,5642125000.0,3
ISL,N2O_LULUCF,T_CO2E,2021,896000.0,3
IRL,CO2_LULUCF,T_CO2E,2021,6278983000.0,3
IRL,CH4_LULUCF,T_CO2E,2021,626302000.0,3
IRL,N2O_LULUCF,T_CO2E,2021,432966000.0,3
ITA,N2O_LULUCF,T_CO2E,2021,472382000.0,3
ITA,CO2_LULUCF,T_CO2E,2021,-28923751000.0,3
ITA,CH4_LULUCF,T_CO2E,2021,978210000.0,3
JPN,CO2_LULUCF,T_CO2E,2021,-52177833000.0,3
JPN,CH4_LULUCF,T_CO2E,2021,76460000.0,3
JPN,N2O_LULUCF,T_CO2E,2021,406783000.0,3
LVA,CH4_LULUCF,T_CO2E,2021,868304000.0,3
LVA,CO2_LULUCF,T_CO2E,2021,956294000.0,3
LVA,N2O_LULUCF,T_CO2E,2021,569854000.0,3
LTU,CO2_LULUCF,T_CO2E,2021,-6238066000.0,3
LTU,CH4_LULUCF,T_CO2E,2021,87000.0,3
LTU,N2O_LULUCF,T_CO2E,2021,147085000.0,3
LUX,CO2_LULUCF,T_CO2E,2021,-613856000.0,3
LUX,N2O_LULUCF,T_CO2E,2021,8507000.0,3
NLD,CH4_LULUCF,T_CO2E,2021,244857000.0,3
NLD,CO2_LULUCF,T_CO2E,2021,3985239000.0,3
NLD,N2O_LULUCF,T_CO2E,2021,82840000.0,3
NZL,CH4_LULUCF,T_CO2E,2021,32635000.0,3
NZL,CO2_LULUCF,T_CO2E,2021,-21358209000.0,3
NZL,N2O_LULUCF,T_CO2E,2021,247405000.0,3
NOR,CH4_LULUCF,T_CO2E,2021,211494000.0,3
NOR,CO2_LULUCF,T_CO2E,2021,-15951114000.0,3
NOR,N2O_LULUCF,T_CO2E,2021,242340000.0,3
POL,N2O_LULUCF,T_CO2E,2021,1742087000.0,3
POL,CH4_LULUCF,T_CO2E,2021,7708000.0,3
POL,CO2_LULUCF,T_CO2E,2021,-21844518000.0,3
PRT,N2O_LULUCF,T_CO2E,2021,604184000.0,3
PRT,CO2_LULUCF,T_CO2E,2021,-6874663000.0,3
PRT,CH4_LULUCF,T_CO2E,2021,249429000.0,3
SVK,CH4_LULUCF,T_CO2E,2021,19795000.0,3
SVK,CO2_LULUCF,T_CO2E,2021,-7709679000.0,3
SVK,N2O_LULUCF,T_CO2E,2021,32055000.0,3
SVN,CH4_LULUCF,T_CO2E,2021,59000.0,3
SVN,CO2_LULUCF,T_CO2E,2021,-3142373000.0,3
SVN,N2O_LULUCF,T_CO2E,2021,36554000.0,3
ESP,CH4_LULUCF,T_CO2E,2021,169559000.0,3
ESP,CO2_LULUCF,T_CO2E,2021,-44981973000.0,3
ESP,N2O_LULUCF,T_CO2E,2021,290428000.0,3
SWE,CH4_LULUCF,T_CO2E,2021,470921000.0,3
SWE,N2O_LULUCF,T_CO2E,2021,1108085000.0,3
SWE,CO2_LULUCF,T_CO2E,2021,-43289841000.0,3
CHE,N2O_LULUCF,T_CO2E,2021,48448000.0,3
CHE,CO2_LULUCF,T_CO2E,2021,-1937057000.0,3
CHE,CH4_LULUCF,T_CO2E,2021,13528000.0,3
TUR,N2O_LULUCF,T_CO2E,2021,577108000.0,3
TUR,CO2_LULUCF,T_CO2E,2021,-48419657000.0,3
TUR,CH4_LULUCF,T_CO2E,2021,696790000.0,3
GBR,CO2_LULUCF,T_CO2E,2021,-5818627000.0,3
GBR,N2O_LULUCF,T_CO2E,2021,1288849000.0,3
GBR,CH4_LULUCF,T_CO2E,2021,5694051000.0,3
USA,CO2_LULUCF,T_CO2E,2021,-832038973000.0,3
USA,CH4_LULUCF,T_CO2E,2021,65970465000.0,3
USA,N2O_LULUCF,T_CO2E,2021,11843474000.0,3
BGR,CH4_LULUCF,T_CO2E,2021,142098000.0,3
BGR,CO2_LULUCF,T_CO2E,2021,-9592858000.0,3
BGR,N2O_LULUCF,T_CO2E,2021,306672000.0,3
HRV,CO2_LULUCF,T_CO2E,2021,-5923761000.0,3
HRV,N2O_LULUCF,T_CO2E,2021,114866000.0,3
HRV,CH4_LULUCF,T_CO2E,2021,6529000.0,3
CYP,CH4_LULUCF,T_CO2E,2021,5478000.0,3
CYP,N2O_LULUCF,T_CO2E,2021,3919000.0,3
CYP,CO2_LULUCF,T_CO2E,2021,-244723000.0,3
KAZ,CH4_LULUCF,T_CO2E,2021,56350000.0,3
KAZ,CO2_LULUCF,T_CO2E,2021,2604370000.0,3
KAZ,N2O_LULUCF,T_CO2E,2021,53640000.0,3
MLT,N2O_LULUCF,T_CO2E,2021,582000.0,3
MLT,CO2_LULUCF,T_CO2E,2021,56000.0,3
ROU,CH4_LULUCF,T_CO2E,2021,3558000.0,3
ROU,CO2_LULUCF,T_CO2E,2021,-49330002000.0,3
ROU,N2O_LULUCF,T_CO2E,2021,68019000.0,3
RUS,N2O_LULUCF,T_CO2E,2021,18475426000.0,3
RUS,CH4_LULUCF,T_CO2E,2021,28528771000.0,3
RUS,CO2_LULUCF,T_CO2E,2021,-531828879000.0,3
UKR,CO2_LULUCF,T_CO2E,2021,14048786000.0,3
UKR,N2O_LULUCF,T_CO2E,2021,172361000.0,3
UKR,CH4_LULUCF,T_CO2E,2021,9213000.0,3
AUS,N2O_LULUCF,T_CO2E,2020,3253856000.0,3
AUS,CO2_LULUCF,T_CO2E,2020,-59086939000.0,3
AUS,CH4_LULUCF,T_CO2E,2020,13326326000.0,3
AUT,N2O_LULUCF,T_CO2E,2020,114776000.0,3
AUT,CO2_LULUCF,T_CO2E,2020,-5363884000.0,3
AUT,CH4_LULUCF,T_CO2E,2020,26911000.0,3
