REF_AREA,MEASURE,TIME_PERIOD,OBS_VALUE
ARG,CH4,1990,79891.495
ARG,CO2,1990,168623.102
ARG,HFC,1990,0.0
ARG,N2O,1990,37852.886
ARG,PFC,1990,1562.949
ARG,SF,1990,0.717
ARG,CH4,1991,81249.739
ARG,CO2,1991,178732.883
ARG,HFC,1991,0.0
ARG,N2O,1991,38360.335
ARG,PFC,1991,1037.573
ARG,SF,1991,0.717
ARG,CH4,1992,82508.6
ARG,CO2,1992,182553.002
ARG,HFC,1992,0.0
ARG,N2O,1992,38345.344
ARG,PFC,1992,959.407
ARG,SF,1992,0.628
ARG,CH4,1993,84032.371
ARG,CO2,1993,186042.386
ARG,HFC,1993,0.0
ARG,N2O,1993,39939.083
ARG,PFC,1993,1067.318
ARG,SF,1993,0.699
ARG,CH4,1994,82759.523
ARG,CO2,1994,193114.437
ARG,HFC,1994,0.0
ARG,N2O,1994,40005.169
ARG,PFC,1994,511.722
ARG,SF,1994,0.669
ARG,CH4,1995,82218.785
ARG,CO2,1995,197909.286
ARG,HFC,1995,0.0
ARG,N2O,1995,39308.09
ARG,PFC,1995,500.308
ARG,SF,1995,0.73
ARG,CH4,1996,81887.924
ARG,CO2,1996,210954.431
ARG,HFC,1996,0.0
ARG,N2O,1996,41202.88
ARG,PFC,1996,500.793
ARG,SF,1996,0.731
ARG,CH4,1997,80084.465
ARG,CO2,1997,234731.809
ARG,HFC,1997,0.0
ARG,N2O,1997,40505.106
ARG,PFC,1997,466.468
ARG,SF,1997,0.765
ARG,CH4,1998,80515.301
ARG,CO2,1998,231975.335
ARG,HFC,1998,0.0
ARG,N2O,1998,39987.878
ARG,PFC,1998,348.777
ARG,SF,1998,0.765
ARG,CH4,1999,80182.229
ARG,CO2,1999,225857.25300000003
ARG,HFC,1999,0.0
ARG,N2O,1999,40931.019
ARG,PFC,1999,387.483
ARG,SF,1999,0.85
ARG,CH4,2000,88052.629
ARG,CO2,2000,216424.626
ARG,HFC,2000,0.0
ARG,N2O,2000,44370.456
ARG,PFC,2000,325.819
ARG,SF,2000,1.076
ARG,CH4,2001,92037.191
ARG,CO2,2001,209495.071
ARG,HFC,2001,0.0
ARG,N2O,2001,47598.742
ARG,PFC,2001,205.895
ARG,SF,2001,0.996
ARG,CH4,2002,92853.824
ARG,CO2,2002,206590.296
ARG,HFC,2002,0.0
ARG,N2O,2002,45644.977
ARG,PFC,2002,230.438
ARG,SF,2002,1.09
ARG,CH4,2003,98807.439
ARG,CO2,2003,218464.827
ARG,HFC,2003,0.0
ARG,N2O,2003,48562.326
ARG,PFC,2003,120.595
ARG,SF,2003,1.105
ARG,CH4,2004,97668.723
ARG,CO2,2004,235272.659
ARG,HFC,2004,0.0
ARG,N2O,2004,48255.286
ARG,PFC,2004,113.929
ARG,SF,2004,1.104
ARG,CH4,2005,99138.201
ARG,CO2,2005,246260.637
ARG,HFC,2005,165.204
ARG,N2O,2005,48528.349
ARG,PFC,2005,113.202
ARG,SF,2005,1.097
ARG,CH4,2006,100717.212
ARG,CO2,2006,260155.508
ARG,HFC,2006,95.472
ARG,N2O,2006,50662.483
ARG,PFC,2006,113.957
ARG,SF,2006,1.104
ARG,CH4,2007,100799.193
ARG,CO2,2007,277050.739
ARG,HFC,2007,382.824
ARG,N2O,2007,51353.292
ARG,PFC,2007,120.297
ARG,SF,2007,1.165
ARG,CH4,2008,98482.339
ARG,CO2,2008,283517.677
ARG,HFC,2008,85.97
ARG,N2O,2008,46971.84
ARG,PFC,2008,165.798
ARG,SF,2008,1.606
ARG,CH4,2009,94864.364
ARG,CO2,2009,280858.652
ARG,HFC,2009,18.608
ARG,N2O,2009,47630.819
ARG,PFC,2009,172.857
ARG,SF,2009,1.675
ARG,CH4,2010,72585.76
ARG,CO2,2010,293566.363
ARG,HFC,2010,128.218
ARG,N2O,2010,38948.189
ARG,PFC,2010,174.892
ARG,SF,2010,1.694
ARG,CH4,2011,73697.072
ARG,CO2,2011,281576.135
ARG,HFC,2011,139.866
ARG,N2O,2011,37845.763
ARG,PFC,2011,174.178
ARG,SF,2011,1.687
ARG,CH4,2012,75639.646
ARG,CO2,2012,258214.897
ARG,HFC,2012,177.643
ARG,N2O,2012,38006.939
ARG,PFC,2012,159.765
ARG,SF,2012,1.777
ARG,CH4,2013,76829.625
ARG,CO2,2013,258343.954
ARG,HFC,2013,523.247
ARG,N2O,2013,41963.805
ARG,PFC,2013,161.641
ARG,SF,2013,1.798
ARG,CH4,2014,78036.572
ARG,CO2,2014,246724.25
ARG,HFC,2014,613.176
ARG,N2O,2014,42759.706
ARG,PFC,2014,159.765
ARG,SF,2014,1.777
AUS,CH4,1990,160497.86800000002
AUS,CO2,1990,451741.628
AUS,HFC,1990,1193.654
AUS,N2O,1990,18464.635
AUS,PFC,1990,4143.532
AUS,SF,1990,227.331
AUS,CH4,1991,158679.44400000002
AUS,CO2,1991,439341.826
AUS,HFC,1991,1193.654
AUS,N2O,1991,17888.524
AUS,PFC,1991,4146.887
AUS,SF,1991,246.69
AUS,CH4,1992,156014.668
AUS,CO2,1992,377828.83
AUS,HFC,1992,1116.992
AUS,N2O,1992,17399.016
AUS,PFC,1992,4140.176
AUS,SF,1992,266.037
AUS,CH4,1993,151878.187
AUS,CO2,1993,360984.06
AUS,HFC,1993,1533.136
AUS,N2O,1993,17656.492000000002
AUS,PFC,1993,2981.975
AUS,SF,1993,285.369
AUS,CH4,1994,148108.341
AUS,CO2,1994,361667.939
AUS,HFC,1994,861.51
AUS,N2O,1994,18069.772
AUS,PFC,1994,1946.68
AUS,SF,1994,304.682
AUS,CH4,1995,146247.772
AUS,CO2,1995,348075.4
AUS,HFC,1995,862.281
AUS,N2O,1995,17323.762
AUS,PFC,1995,1376.828
AUS,SF,1995,325.923
AUS,CH4,1996,146453.737
AUS,CO2,1996,355297.004
AUS,HFC,1996,255.363
AUS,N2O,1996,18738.149
AUS,PFC,1996,1268.504
AUS,SF,1996,297.974
AUS,CH4,1997,149484.184
AUS,CO2,1997,352203.16299999994
AUS,HFC,1997,426.823
AUS,N2O,1997,19356.613
AUS,PFC,1997,1104.595
AUS,SF,1997,274.963
AUS,CH4,1998,149234.473
AUS,CO2,1998,353346.19
AUS,HFC,1998,607.017
AUS,N2O,1998,19404.214
AUS,PFC,1998,1493.465
AUS,SF,1998,247.582
AUS,CH4,1999,146216.051
AUS,CO2,1999,370978.315
AUS,HFC,1999,904.918
AUS,N2O,1999,20268.744
AUS,PFC,1999,1024.466
AUS,SF,1999,217.776
AUS,CH4,2000,152577.471
AUS,CO2,2000,389883.265
AUS,HFC,2000,1150.493
AUS,N2O,2000,21370.553
AUS,PFC,2000,1157.579
