REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
AUS,HFC,T_CO2E,2021,11405411000.0,3
AUS,N2O,T_CO2E,2021,18060122000.0,3
AUS,PFC,T_CO2E,2021,291483000.0,3
AUS,SF,T_CO2E,2021,162361000.0,3
AUS,CO2,T_CO2E,2021,388777530000.0,3
AUS,CH4,T_CO2E,2021,109934742000.0,3
AUT,CO2,T_CO2E,2021,66018632000.0,3
AUT,CH4,T_CO2E,2021,6499265000.0,3
AUT,PFC,T_CO2E,2021,23404000.0,3
AUT,N2O,T_CO2E,2021,3122738000.0,3
AUT,HFC,T_CO2E,2021,1485823000.0,3
AUT,SF,T_CO2E,2021,370527000.0,3
BEL,CH4,T_CO2E,2021,7870099000.0,3
BEL,PFC,T_CO2E,2021,182000000.0,3
BEL,N2O,T_CO2E,2021,4733206000.0,3
BEL,SF,T_CO2E,2021,95793000.0,3
BEL,HFC,T_CO2E,2021,2397304000.0,3
BEL,CO2,T_CO2E,2021,95668081000.0,3
CAN,PFC,T_CO2E,2021,752880000.0,3
CAN,CH4,T_CO2E,2021,90509760000.0,3
CAN,N2O,T_CO2E,2021,30231403000.0,3
CAN,HFC,T_CO2E,2021,11433413000.0,3
CAN,SF,T_CO2E,2021,326496000.0,3
CAN,CO2,T_CO2E,2021,537173737000.0,3
CZE,CO2,T_CO2E,2021,96665225000.0,3
CZE,N2O,T_CO2E,2021,4683994000.0,3
CZE,PFC,T_CO2E,2021,30947000.0,3
CZE,SF,T_CO2E,2021,64681000.0,3
CZE,CH4,T_CO2E,2021,13223990000.0,3
CZE,HFC,T_CO2E,2021,3711397000.0,3
DNK,PFC,T_CO2E,2021,6000.0,3
DNK,CH4,T_CO2E,2021,8644699000.0,3
DNK,CO2,T_CO2E,2021,31306350000.0,3
DNK,N2O,T_CO2E,2021,5192771000.0,3
DNK,SF,T_CO2E,2021,15567000.0,3
DNK,HFC,T_CO2E,2021,356186000.0,3
EST,HFC,T_CO2E,2021,190208000.0,3
EST,N2O,T_CO2E,2021,849034000.0,3
EST,CH4,T_CO2E,2021,1152941000.0,3
EST,SF,T_CO2E,2021,3070000.0,3
EST,CO2,T_CO2E,2021,10419918000.0,3
FIN,SF,T_CO2E,2021,22853000.0,3
FIN,HFC,T_CO2E,2021,837600000.0,3
FIN,N2O,T_CO2E,2021,4171048000.0,3
FIN,PFC,T_CO2E,2021,1593000.0,3
FIN,CH4,T_CO2E,2021,4819217000.0,3
FIN,CO2,T_CO2E,2021,37947179000.0,3
FRA,N2O,T_CO2E,2021,26031405000.0,3
FRA,CO2,T_CO2E,2021,320908305000.0,3
FRA,CH4,T_CO2E,2021,62196306000.0,3
FRA,PFC,T_CO2E,2021,390184000.0,3
FRA,HFC,T_CO2E,2021,9984619000.0,3
FRA,SF,T_CO2E,2021,538339000.0,3
DEU,N2O,T_CO2E,2021,24767161000.0,3
DEU,PFC,T_CO2E,2021,190946000.0,3
DEU,HFC,T_CO2E,2021,8069178000.0,3
DEU,SF,T_CO2E,2021,2663743000.0,3
DEU,CO2,T_CO2E,2021,678798872000.0,3
DEU,CH4,T_CO2E,2021,45687749000.0,3
GRC,SF,T_CO2E,2021,5027000.0,3
GRC,CH4,T_CO2E,2021,11323422000.0,3
GRC,CO2,T_CO2E,2021,57556329000.0,3
GRC,PFC,T_CO2E,2021,111176000.0,3
GRC,HFC,T_CO2E,2021,4675446000.0,3
GRC,N2O,T_CO2E,2021,3817430000.0,3
HUN,CH4,T_CO2E,2021,9206955000.0,3
HUN,CO2,T_CO2E,2021,48563856000.0,3
HUN,PFC,T_CO2E,2021,1763000.0,3
HUN,HFC,T_CO2E,2021,1862460000.0,3
HUN,N2O,T_CO2E,2021,4485768000.0,3
HUN,SF,T_CO2E,2021,97039000.0,3
ISL,N2O,T_CO2E,2021,248938000.0,3
ISL,HFC,T_CO2E,2021,157248000.0,3
ISL,CH4,T_CO2E,2021,654079000.0,3
ISL,CO2,T_CO2E,2021,3510051000.0,3
ISL,SF,T_CO2E,2021,2975000.0,3
ISL,PFC,T_CO2E,2021,88949000.0,3
IRL,CO2,T_CO2E,2021,37547285000.0,3
IRL,CH4,T_CO2E,2021,17649700000.0,3
IRL,N2O,T_CO2E,2021,6146639000.0,3
IRL,PFC,T_CO2E,2021,64952000.0,3
IRL,HFC,T_CO2E,2021,672988000.0,3
IRL,SF,T_CO2E,2021,16233000.0,3
ITA,PFC,T_CO2E,2021,395322000.0,3
ITA,N2O,T_CO2E,2021,17193336000.0,3
ITA,CH4,T_CO2E,2021,47087054000.0,3
ITA,CO2,T_CO2E,2021,337229884000.0,3
ITA,SF,T_CO2E,2021,257501000.0,3
ITA,HFC,T_CO2E,2021,15387775000.0,3
JPN,N2O,T_CO2E,2021,19459726000.0,3
JPN,PFC,T_CO2E,2021,3155541000.0,3
JPN,CO2,T_CO2E,2021,1062129235000.0,3
JPN,SF,T_CO2E,2021,2047450000.0,3
JPN,HFC,T_CO2E,2021,53561038000.0,3
JPN,CH4,T_CO2E,2021,27361363000.0,3
LVA,N2O,T_CO2E,2021,1332782000.0,3
LVA,CO2,T_CO2E,2021,7240496000.0,3
LVA,SF,T_CO2E,2021,12102000.0,3
LVA,CH4,T_CO2E,2021,1889570000.0,3
LVA,HFC,T_CO2E,2021,250341000.0,3
LTU,CO2,T_CO2E,2021,13829675000.0,3
LTU,N2O,T_CO2E,2021,2595250000.0,3
LTU,HFC,T_CO2E,2021,512854000.00000006,3
LTU,SF,T_CO2E,2021,12630000.0,3
LTU,CH4,T_CO2E,2021,3301103000.0,3
LUX,N2O,T_CO2E,2021,244227000.0,3
LUX,HFC,T_CO2E,2021,43694000.0,3
LUX,SF,T_CO2E,2021,9918000.0,3
LUX,CO2,T_CO2E,2021,8429713000.0,3
LUX,CH4,T_CO2E,2021,663177000.0,3
NLD,N2O,T_CO2E,2021,7155254000.0,3
NLD,HFC,T_CO2E,2021,1172450000.0,3
NLD,PFC,T_CO2E,2021,79452000.0,3
NLD,CO2,T_CO2E,2021,139906958000.0,3
NLD,SF,T_CO2E,2021,123869000.0,3
NLD,CH4,T_CO2E,2021,18715262000.0,3
NZL,N2O,T_CO2E,2021,7937597000.0,3
NZL,HFC,T_CO2E,2021,1483223000.0,3
NZL,CH4,T_CO2E,2021,33019346000.0,3
NZL,PFC,T_CO2E,2021,50688000.0,3
NZL,CO2,T_CO2E,2021,34318003000.0,3
NZL,SF,T_CO2E,2021,15731000.0,3
NOR,HFC,T_CO2E,2021,628423000.0,3
NOR,CH4,T_CO2E,2021,5256607000.0,3
NOR,CO2,T_CO2E,2021,40662914000.0,3
NOR,N2O,T_CO2E,2021,2068766000.0,3
NOR,SF,T_CO2E,2021,62482000.0,3
NOR,PFC,T_CO2E,2021,222763000.0,3
POL,CH4,T_CO2E,2021,42704711000.0,3
POL,PFC,T_CO2E,2021,10082000.0,3
POL,SF,T_CO2E,2021,92596000.0,3
POL,N2O,T_CO2E,2021,20616673000.0,3
POL,CO2,T_CO2E,2021,331077163000.0,3
POL,HFC,T_CO2E,2021,4937265000.0,3
PRT,CH4,T_CO2E,2021,10272778000.0,3
PRT,SF,T_CO2E,2021,24203000.0,3
PRT,PFC,T_CO2E,2021,26543000.0,3
PRT,CO2,T_CO2E,2021,39938330000.0,3
PRT,N2O,T_CO2E,2021,2938567000.0,3
PRT,HFC,T_CO2E,2021,3158986000.0,3
SVK,CH4,T_CO2E,2021,3700765000.0,3
SVK,N2O,T_CO2E,2021,1663739000.0,3
SVK,CO2,T_CO2E,2021,35166805000.0,3
SVK,PFC,T_CO2E,2021,5373000.0,3
SVK,SF,T_CO2E,2021,17438000.0,3
SVK,HFC,T_CO2E,2021,672373000.0,3
SVN,CH4,T_CO2E,2021,2085120000.0,3
SVN,CO2,T_CO2E,2021,13059966000.0,3
SVN,SF,T_CO2E,2021,16712000.0,3
SVN,N2O,T_CO2E,2021,670605000.0,3
SVN,HFC,T_CO2E,2021,267039000.0,3
SVN,PFC,T_CO2E,2021,7035000.0,3
ESP,CH4,T_CO2E,2021,41492468000.0,3
ESP,SF,T_CO2E,2021,240201000.0,3
ESP,CO2,T_CO2E,2021,230269459000.0,3
ESP,N2O,T_CO2E,2021,11830990000.0,3
ESP,PFC,T_CO2E,2021,51392000.0,3
ESP,HFC,T_CO2E,2021,3612743000.0,3
SWE,HFC,T_CO2E,2021,840829000.0,3
SWE,N2O,T_CO2E,2021,3850112000.0,3
SWE,SF,T_CO2E,2021,39612000.0,3
SWE,CO2,T_CO2E,2021,38524786000.0,3
SWE,CH4,T_CO2E,2021,4519676000.0,3
SWE,PFC,T_CO2E,2021,41685000.0,3
CHE,HFC,T_CO2E,2021,1241481000.0,3
CHE,CH4,T_CO2E,2021,5103997000.0,3
CHE,PFC,T_CO2E,2021,28366000.0,3
CHE,CO2,T_CO2E,2021,35787340000.0,3
CHE,N2O,T_CO2E,2021,2845138000.0,3
CHE,SF,T_CO2E,2021,129028000.0,3
TUR,SF,T_CO2E,2021,144050000.0,3
TUR,PFC,T_CO2E,2021,6790000.0,3
TUR,CH4,T_CO2E,2021,64020230000.0,3
TUR,CO2,T_CO2E,2021,452702790000.0,3
TUR,HFC,T_CO2E,2021,7209799000.0,3
TUR,N2O,T_CO2E,2021,40306091000.0,3
GBR,SF,T_CO2E,2021,421818000.0,3
GBR,N2O,T_CO2E,2021,17906348000.0,3
GBR,HFC,T_CO2E,2021,10819710000.0,3
