REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
AUS,TOTAGR_LAND,HA,1990,464026542000.0,3
AUS,TOTAGR_LAND,HA,1991,462763419000.0,3
AUS,TOTAGR_LAND,HA,1992,465953494000.0,3
AUS,TOTAGR_LAND,HA,1993,460097296000.0,3
AUS,TOTAGR_LAND,HA,1994,469047583000.0,3
AUS,TOTAGR_LAND,HA,1995,463347330000.0,3
AUS,TOTAGR_LAND,HA,1996,465219561000.0,3
AUS,TOTAGR_LAND,HA,1997,466152069000.0,3
AUS,TOTAGR_LAND,HA,1998,463786276000.0,3
AUS,TOTAGR_LAND,HA,1999,453729393000.0,3
AUS,TOTAGR_LAND,HA,2000,455516100000.0,3
AUS,TOTAGR_LAND,HA,2001,455723262000.0,3
AUS,TOTAGR_LAND,HA,2002,447007342000.0,3
AUS,TOTAGR_LAND,HA,2003,439531447000.0,3
AUS,TOTAGR_LAND,HA,2004,440109576000.0,3
AUS,TOTAGR_LAND,HA,2005,445148801000.0,3
AUS,TOTAGR_LAND,HA,2006,434924815000.0,3
AUS,TOTAGR_LAND,HA,2007,425449339000.0,3
AUS,TOTAGR_LAND,HA,2008,417287559000.0,3
AUS,TOTAGR_LAND,HA,2009,409028751000.0,3
AUS,TOTAGR_LAND,HA,2010,397451002000.0,3
AUS,TOTAGR_LAND,HA,2011,391686179000.0,3
AUS,TOTAGR_LAND,HA,2012,405473623000.0,3
AUS,TOTAGR_LAND,HA,2013,396615288000.0,3
AUS,TOTAGR_LAND,HA,2014,406269028000.0,3
AUS,TOTAGR_LAND,HA,2015,384557865000.0,3
AUS,TOTAGR_LAND,HA,2016,371078257000.0,3
AUS,TOTAGR_LAND,HA,2017,393797177000.0,3
AUS,TOTAGR_LAND,HA,2018,378081996000.0,3
AUS,TOTAGR_LAND,HA,2019,383801493000.0,3
AUS,TOTAGR_LAND,HA,2020,377002256000.0,3
AUS,TOTAGR_LAND,HA,2021,387264589000.0,3
AUT,TOTAGR_LAND,HA,1990,3458000000.0,3
AUT,TOTAGR_LAND,HA,1991,3477000000.0,3
AUT,TOTAGR_LAND,HA,1992,3467800000.0,3
AUT,TOTAGR_LAND,HA,1993,3448300000.0,3
AUT,TOTAGR_LAND,HA,1994,3449300000.0,3
AUT,TOTAGR_LAND,HA,1999,3384300000.0,3
AUT,TOTAGR_LAND,HA,2000,3380700000.0,3
AUT,TOTAGR_LAND,HA,2001,3374100000.0,3
AUT,TOTAGR_LAND,HA,2002,3373600000.0,3
AUT,TOTAGR_LAND,HA,2003,3374500000.0,3
AUT,TOTAGR_LAND,HA,2004,3368400000.0,3
AUT,TOTAGR_LAND,HA,2005,3262900000.0,3
AUT,TOTAGR_LAND,HA,2006,3239900000.0,3
AUT,TOTAGR_LAND,HA,2007,3238600000.0,3
AUT,TOTAGR_LAND,HA,2008,3171000000.0,3
AUT,TOTAGR_LAND,HA,2009,3168600000.0,3
AUT,TOTAGR_LAND,HA,2010,3165800000.0,3
AUT,TOTAGR_LAND,HA,2011,2868150000.0,3
AUT,TOTAGR_LAND,HA,2012,2863580000.0,3
AUT,TOTAGR_LAND,HA,2013,2862440000.0,3
AUT,TOTAGR_LAND,HA,2014,2716160000.0,3
AUT,TOTAGR_LAND,HA,2015,2720400000.0,3
AUT,TOTAGR_LAND,HA,2016,2688830000.0,3
AUT,TOTAGR_LAND,HA,2017,2655560000.0,3
AUT,TOTAGR_LAND,HA,2018,2653840000.0,3
AUT,TOTAGR_LAND,HA,2019,2652220000.0,3
AUT,TOTAGR_LAND,HA,2020,2646960000.0,3
AUT,TOTAGR_LAND,HA,2021,2602490000.0,3
BEL,TOTAGR_LAND,HA,1990,1384000000.0,3
BEL,TOTAGR_LAND,HA,1991,1374800000.0,3
BEL,TOTAGR_LAND,HA,1992,1353800000.0,3
BEL,TOTAGR_LAND,HA,1993,1370800000.0,3
BEL,TOTAGR_LAND,HA,1994,1370200000.0,3
BEL,TOTAGR_LAND,HA,1995,1385800000.0,3
BEL,TOTAGR_LAND,HA,1996,1390500000.0,3
BEL,TOTAGR_LAND,HA,1997,1383000000.0,3
BEL,TOTAGR_LAND,HA,1998,1390800000.0,3
BEL,TOTAGR_LAND,HA,1999,1393800000.0,3
BEL,TOTAGR_LAND,HA,2000,1395700000.0,3
BEL,TOTAGR_LAND,HA,2001,1390200000.0,3
BEL,TOTAGR_LAND,HA,2002,1392700000.0,3
BEL,TOTAGR_LAND,HA,2003,1392100000.0,3
BEL,TOTAGR_LAND,HA,2004,1393800000.0,3
BEL,TOTAGR_LAND,HA,2005,1385800000.0,3
BEL,TOTAGR_LAND,HA,2006,1382400000.0,3
BEL,TOTAGR_LAND,HA,2007,1370300000.0,3
BEL,TOTAGR_LAND,HA,2008,1373800000.0,3
BEL,TOTAGR_LAND,HA,2009,1365200000.0,3
BEL,TOTAGR_LAND,HA,2010,1358020000.0,3
BEL,TOTAGR_LAND,HA,2011,1337250000.0,3
BEL,TOTAGR_LAND,HA,2012,1333910000.0,3
BEL,TOTAGR_LAND,HA,2013,1338570000.0,3
BEL,TOTAGR_LAND,HA,2014,1333400000.0,3
BEL,TOTAGR_LAND,HA,2015,1330880000.0,3
BEL,TOTAGR_LAND,HA,2016,1352950000.0,3
BEL,TOTAGR_LAND,HA,2017,1329150000.0,3
BEL,TOTAGR_LAND,HA,2018,1356080000.0,3
BEL,TOTAGR_LAND,HA,2019,1358700000.0,3
BEL,TOTAGR_LAND,HA,2020,1367080000.0,3
BEL,TOTAGR_LAND,HA,2021,1368310000.0,3
CAN,TOTAGR_LAND,HA,1990,58580734000.0,3
CAN,TOTAGR_LAND,HA,1991,60891432000.0,3
CAN,TOTAGR_LAND,HA,1992,60207325000.0,3
CAN,TOTAGR_LAND,HA,1993,60761724000.0,3
CAN,TOTAGR_LAND,HA,1994,61398531000.0,3
CAN,TOTAGR_LAND,HA,1995,60801485000.0,3
CAN,TOTAGR_LAND,HA,1996,63182479000.0,3
CAN,TOTAGR_LAND,HA,1997,63414785000.0,3
CAN,TOTAGR_LAND,HA,1998,63323360000.0,3
CAN,TOTAGR_LAND,HA,1999,62729877000.0,3
CAN,TOTAGR_LAND,HA,2000,63374626000.0,3
CAN,TOTAGR_LAND,HA,2001,53589626000.0,3
CAN,TOTAGR_LAND,HA,2002,49489790000.0,3
CAN,TOTAGR_LAND,HA,2003,54092211000.0,3
CAN,TOTAGR_LAND,HA,2004,52748988000.0,3
CAN,TOTAGR_LAND,HA,2005,53328050000.0,3
CAN,TOTAGR_LAND,HA,2006,53140870000.0,3
CAN,TOTAGR_LAND,HA,2007,54577783000.0,3
CAN,TOTAGR_LAND,HA,2008,55349208000.0,3
CAN,TOTAGR_LAND,HA,2009,54823571000.0,3
CAN,TOTAGR_LAND,HA,2010,55918146000.0,3
CAN,TOTAGR_LAND,HA,2011,57184620000.0,3
CAN,TOTAGR_LAND,HA,2012,57325642000.0,3
CAN,TOTAGR_LAND,HA,2013,57329863000.0,3
CAN,TOTAGR_LAND,HA,2014,56845058000.0,3
