REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
CAN,F12,T,2012,0.0,0
CAN,F12,T,2012,0.0,0
CAN,F12,T,2013,0.0,0
CAN,F12,T,2013,0.0,0
CAN,F12,T,2014,0.0,0
CAN,F12,T,2014,0.0,0
CAN,F12,T,2015,0.0,0
CAN,F12,T,2015,0.0,0
CAN,F12,T,2016,0.0,0
CAN,F12,T,2016,0.0,0
CAN,F12,T,2017,0.0,0
CAN,F12,T,2017,0.0,0
CAN,F12,T,2018,0.0,0
CAN,F12,T,2018,0.0,0
CAN,F12,T,2019,0.0,0
CAN,F12,T,2019,0.0,0
CAN,F12,T,2020,0.0,0
CAN,F12,T,2020,0.0,0
COL,F12,T,2012,0.0,0
COL,F12,T,2013,0.0,0
COL,F12,T,2014,0.0,0
COL,F12,T,2015,0.0,0
COL,F12,T,2016,0.0,0
COL,F12,T,2017,0.0,0
EST,F12,T,2012,0.0,0
LTU,F12,T,2019,0.0,0
SVK,F12,T,2014,0.0,0
SVK,F12,T,2014,0.0,0
SVK,F12,T,2015,0.0,0
SVK,F12,T,2015,0.0,0
ROU,F12,T,2015,0.0,0
ROU,F12,T,2015,0.0,0
ROU,F12,T,2016,0.0,0
ROU,F12,T,2016,0.0,0
MLT,F12,T,2012,0.0,0
MLT,F12,T,2013,0.0,0
MLT,F12,T,2014,0.0,0
ROU,F12,T,2012,0.0,0
ROU,F12,T,2013,0.0,0
ROU,F12,T,2014,0.0,0
LUX,F11,T,2012,517.0,0
LUX,F11,T,2013,516.0,0
LUX,F11,T,2014,515.0,0
LTU,F11,T,2012,41535.0,0
LTU,F11,T,2013,28396.0,0
LTU,F11,T,2014,28396.0,0
FIN,F11,T,2012,10600.0,0
FIN,F12,T,2012,219.3,0
FIN,F12,T,2013,219.3,0
FIN,F11,T,2013,11184.0,0
FIN,F11,T,2014,11845.0,0
FIN,F12,T,2014,219.3,0
MLT,F11,T,2012,30.0,0
MLT,F11,T,2013,31.0,0
MLT,F11,T,2014,31.0,0
ROU,F11,T,2012,49353.0,0
ROU,F11,T,2013,49697.0,0
ROU,F11,T,2014,51772.0,0
LVA,F11,T,2012,8648.0,0
LVA,F11,T,2013,10670.0,0
LVA,F11,T,2014,10204.0,0
CYP,F11,T,2012,1000.0,0
CYP,F11,T,2013,801.0,0
CYP,F11,T,2014,801.0,0
ITA,F11,T,2012,73000.0,0
ITA,F11,T,2013,74775.0,0
ITA,F11,T,2014,73178.0,0
GRC,F11,T,2012,24000.0,0
GRC,F11,T,2013,25523.0,0
GRC,F11,T,2014,24518.0,0
DNK,F12,T,2012,5250.0,0
DNK,F11,T,2012,10000.0,0
DNK,F11,T,2013,13601.0,0
DNK,F12,T,2013,5250.0,0
DNK,F12,T,2014,5250.0,0
DNK,F11,T,2014,13674.0,0
BGR,F11,T,2012,20798.0,0
BGR,F11,T,2013,11656.0,0
BGR,F11,T,2014,28144.0,0
BEL,F12,T,2012,320.0,0
BEL,F11,T,2012,5600.0,0
BEL,F11,T,2013,5600.0,0
