REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
SVK,C222,T,2018,0.0,0
SVK,C222,T,2018,0.0,0
NOR,C222,T,2012,0.0,0
NOR,C222,T,2012,0.0,0
NOR,C222,T,2013,0.0,0
NOR,C222,T,2013,0.0,0
NOR,C222,T,2014,0.0,0
NOR,C222,T,2014,0.0,0
NOR,C222,T,2015,0.0,0
NOR,C222,T,2015,0.0,0
NOR,C222,T,2016,0.0,0
NOR,C222,T,2016,0.0,0
IRL,C221,T,2012,0.0,0
IRL,C222,T,2012,0.0,0
IRL,C221,T,2012,0.0,0
IRL,C221,T,2013,0.0,0
IRL,C222,T,2013,0.0,0
IRL,C221,T,2013,0.0,0
IRL,C221,T,2014,0.0,0
IRL,C222,T,2014,0.0,0
IRL,C221,T,2014,0.0,0
IRL,C221,T,2015,0.0,0
IRL,C222,T,2015,0.0,0
IRL,C221,T,2015,0.0,0
IRL,C221,T,2016,0.0,0
IRL,C222,T,2016,0.0,0
IRL,C221,T,2016,0.0,0
IRL,C221,T,2017,0.0,0
IRL,C222,T,2017,0.0,0
IRL,C221,T,2017,0.0,0
MLT,C222,T,2012,0.0,0
MLT,C222,T,2013,0.0,0
MLT,C222,T,2014,0.0,0
LUX,C221,T,2012,242.0,0
LUX,C222,T,2012,1163.0,0
LUX,C222,T,2013,1156.0,0
LUX,C221,T,2013,222.0,0
LUX,C221,T,2014,243.0,0
LUX,C222,T,2014,1155.0,0
LTU,C222,T,2012,4434.0,0
LTU,C221,T,2012,9700.0,0
LTU,C221,T,2013,9351.0,0
LTU,C222,T,2013,4576.0,0
LTU,C222,T,2014,4573.0,0
LTU,C221,T,2014,9864.0,0
FIN,C221,T,2012,7761.3,0
FIN,C222,T,2012,1114.5,0
FIN,C222,T,2013,1095.3,0
FIN,C221,T,2013,7263.9,0
FIN,C221,T,2014,7666.0,0
FIN,C222,T,2014,1078.0,0
MLT,C221,T,2012,189.0,0
MLT,C221,T,2013,180.0,0
MLT,C221,T,2014,175.0,0
ROU,C221,T,2012,6828.0,0
ROU,C222,T,2012,24436.0,0
ROU,C222,T,2013,25678.0,0
ROU,C221,T,2013,7731.0,0
ROU,C221,T,2014,8274.0,0
ROU,C222,T,2014,25188.0,0
LVA,C222,T,2012,1043.0,0
LVA,C221,T,2012,2845.0,0
LVA,C221,T,2013,2872.0,0
LVA,C222,T,2013,1054.0,0
LVA,C222,T,2014,1044.0,0
LVA,C221,T,2014,2891.0,0
CYP,C221,T,2012,368.0,0
CYP,C222,T,2012,5.0,0
CYP,C222,T,2013,4.0,0
CYP,C221,T,2013,277.0,0
CYP,C221,T,2014,74.0,0
CYP,C222,T,2014,4.0,0
ITA,C221,T,2012,46829.0,0
ITA,C222,T,2012,15594.0,0
ITA,C222,T,2013,19076.0,0
ITA,C221,T,2013,46781.0,0
ITA,C221,T,2014,49583.0,0
ITA,C222,T,2014,22581.0,0
GRC,C222,T,2012,3555.0,0
GRC,C221,T,2012,587.0,0
GRC,C221,T,2013,438.0,0
GRC,C222,T,2013,3147.0,0
GRC,C222,T,2014,2730.0,0
GRC,C221,T,2014,389.0,0
DNK,C221,T,2012,20174.0,0
DNK,C222,T,2012,2661.0,0
DNK,C222,T,2013,2409.0,0
DNK,C221,T,2013,20754.0,0
DNK,C221,T,2014,21276.0,0
DNK,C222,T,2014,2373.0,0
BGR,C221,T,2012,1190.0,0
BGR,C222,T,2012,3923.0,0
BGR,C222,T,2013,3289.0,0
BGR,C221,T,2013,1224.0,0
BGR,C221,T,2014,1470.0,0
BGR,C222,T,2014,3249.0,0
BEL,C222,T,2012,11687.0,0
BEL,C221,T,2012,7236.0,0
BEL,C221,T,2013,7583.0,0
BEL,C222,T,2013,11478.0,0
BEL,C222,T,2014,11337.0,0
BEL,C221,T,2014,8013.0,0
DNK,C221,T,2012,126197.4,0
DNK,C222,T,2012,20457.4,0
DNK,C222,T,2013,18515.8,0
DNK,C221,T,2013,128715.9,0
DNK,C221,T,2014,130922.7,0
DNK,C222,T,2014,18241.1,0
ITA,C222,T,2012,94756.2,0
ITA,C221,T,2012,288704.2,0
ITA,C221,T,2013,288453.8,0
ITA,C222,T,2013,115912.0,0
ITA,C222,T,2014,137214.8,0
ITA,C221,T,2014,303116.1,0
LTU,C222,T,2012,21679.3,0
LTU,C221,T,2012,45514.8,0
LTU,C221,T,2013,42561.8,0
LTU,C222,T,2013,22373.1,0
LTU,C222,T,2014,22357.4,0
LTU,C221,T,2014,43600.5,0
LUX,C221,T,2012,1921.7,0
LUX,C222,T,2012,10335.7,0
LUX,C222,T,2013,10275.8,0
LUX,C221,T,2013,1752.3,0
LUX,C221,T,2014,1874.1,0
LUX,C222,T,2014,10265.1,0
CYP,C222,T,2012,36.4,0
CYP,C221,T,2012,1843.1,0
CYP,C221,T,2013,1387.6,0
CYP,C222,T,2013,34.0,0
CYP,C222,T,2014,32.3,0
CYP,C221,T,2014,374.5,0
LVA,C221,T,2012,28674.2,0
LVA,C222,T,2012,33082.6,0
LVA,C222,T,2013,33435.4,0
LVA,C221,T,2013,28829.3,0
LVA,C221,T,2014,28941.1,0
LVA,C222,T,2014,33117.8,0
GRC,C221,T,2012,3489.9,0
GRC,C222,T,2012,27220.1,0
GRC,C222,T,2013,24093.9,0
GRC,C221,T,2013,2412.9,0
GRC,C221,T,2014,2206.6,0
GRC,C222,T,2014,20901.7,0
ROU,C221,T,2012,61095.2,0
ROU,C222,T,2012,245628.8,0
ROU,C222,T,2013,258108.2,0
ROU,C221,T,2013,69122.8,0
ROU,C221,T,2014,74164.6,0
ROU,C222,T,2014,253186.7,0
MLT,C221,T,2012,1082.0,0
MLT,C221,T,2013,1031.0,0
MLT,C221,T,2014,1002.4,0
FIN,C222,T,2012,9638.7,0
FIN,C221,T,2012,63936.3,0
FIN,C221,T,2013,59931.1,0
FIN,C222,T,2013,9473.0,0
FIN,C222,T,2014,9390.1,0
FIN,C221,T,2014,63867.7,0
BGR,C221,T,2012,10212.1,0
BGR,C222,T,2012,32684.5,0
BGR,C222,T,2013,27406.9,0
BGR,C221,T,2013,10627.7,0
BGR,C221,T,2014,12238.7,0
BGR,C222,T,2014,27068.2,0
BEL,C222,T,2012,90897.4,0
BEL,C221,T,2012,50110.6,0
BEL,C221,T,2013,52213.6,0
BEL,C222,T,2013,89275.6,0
BEL,C222,T,2014,88173.6,0
BEL,C221,T,2014,54953.5,0
AUS,C222,T,2012,302418.946,0
AUS,C222,T,2013,329815.945,0
AUS,C222,T,2014,282457.088,0
AUS,C222,T,2015,280044.569,0
AUS,C222,T,2016,269300.554,0
AUS,C222,T,2017,291684.989,0
AUS,C222,T,2018,287646.181,0
AUS,C222,T,2019,296502.827,0
AUS,C222,T,2020,293253.981,0
AUT,C222,T,2012,12987.1,0
AUT,C222,T,2013,11437.1,0
AUT,C222,T,2014,13450.3,0
AUT,C222,T,2015,12800.8,0
AUT,C222,T,2016,14859.1,0
AUT,C222,T,2017,12185.3,0
AUT,C222,T,2018,11293.9,0
AUT,C222,T,2019,11405.3,0
CAN,C222,T,2012,111681.808,0
CAN,C222,T,2013,94022.208,0
CAN,C222,T,2014,92485.476,0
CAN,C222,T,2015,92358.08,0
CAN,C222,T,2016,101489.6,0
CAN,C222,T,2017,83683.604,0
CAN,C222,T,2018,92939.628,0
CAN,C222,T,2019,70521.22,0
CAN,C222,T,2020,80104.692,0
COL,C222,T,2012,143013.453,0
COL,C222,T,2013,151057.928,0
COL,C222,T,2014,150606.59,0
COL,C222,T,2015,150155.253,0
COL,C222,T,2016,149703.915,0
COL,C222,T,2017,144628.921,0
COL,C222,T,2018,144603.36,0
COL,C222,T,2019,145103.629,0
COL,C222,T,2020,144253.822,0
CRI,C222,T,2012,4619.274,0
CRI,C222,T,2013,4564.5,0
CRI,C222,T,2014,4506.074,0
CRI,C222,T,2015,4451.3,0
CRI,C222,T,2016,4381.92,0
CRI,C222,T,2017,4381.92,0
CRI,C222,T,2018,4381.92,0
CRI,C222,T,2019,4381.92,0
CRI,C222,T,2020,4381.92,0
CZE,C222,T,2012,6324.8,0
CZE,C222,T,2013,7037.4,0
CZE,C222,T,2014,7363.4,0
CZE,C222,T,2015,6033.3,0
CZE,C222,T,2016,7132.7,0
CZE,C222,T,2017,6398.2,0
CZE,C222,T,2018,5145.7,0
CZE,C222,T,2019,5927.8,0
EST,C222,T,2012,5197.8,0
FIN,C222,T,2015,895.1,0
FIN,C222,T,2016,884.2,0
FIN,C222,T,2017,873.2,0
FIN,C222,T,2018,873.2,0
FIN,C222,T,2019,819.2,0
FRA,C222,T,2012,190290.2,0
FRA,C222,T,2013,186944.7,0
FRA,C222,T,2014,184379.9,0
FRA,C222,T,2015,159013.5,0
FRA,C222,T,2016,160466.7,0
FRA,C222,T,2017,170445.2,0
FRA,C222,T,2018,147154.3,0
FRA,C222,T,2019,139227.5,0
DEU,C222,T,2012,117543.4,0
DEU,C222,T,2013,110010.5,0
DEU,C222,T,2014,118518.2,0
DEU,C222,T,2015,124516.5,0
DEU,C222,T,2016,113834.2,0
DEU,C222,T,2017,113281.05,0
DEU,C222,T,2018,81104.1,0
DEU,C222,T,2019,95175.4,0
HUN,C222,T,2012,1873.4,0
HUN,C222,T,2013,2231.4,0
HUN,C222,T,2014,2301.4,0
HUN,C222,T,2015,2377.1,0
HUN,C222,T,2016,2858.7,0
HUN,C222,T,2017,2978.7,0
ISL,C222,T,2012,1569.5,0
ISL,C222,T,2013,1569.5,0
ISL,C222,T,2014,1569.5,0
ISL,C222,T,2015,1569.5,0
ISL,C222,T,2016,1569.5,0
ISL,C222,T,2017,1569.0,0
ISL,C222,T,2018,1569.0,0
ISL,C222,T,2019,1569.0,0
ISL,C222,T,2020,1569.0,0
ISL,C222,T,2021,1569.0,0
JPN,C222,T,2012,2909.16,0
JPN,C222,T,2013,2814.48,0
JPN,C222,T,2014,3023.16,0
JPN,C222,T,2015,3131.04,0
JPN,C222,T,2016,2962.68,0
KOR,C222,T,2012,1228.92,0
KOR,C222,T,2013,1196.58,0
KOR,C222,T,2014,1164.24,0
KOR,C222,T,2015,1131.9,0
KOR,C222,T,2016,1114.178,0
KOR,C222,T,2017,1099.301,0
KOR,C222,T,2018,1083.261,0
KOR,C222,T,2019,1060.364,0
KOR,C222,T,2020,1052.861,0
LVA,C222,T,2016,1291.0,0
LVA,C222,T,2017,1289.5,0
LVA,C222,T,2018,1241.2,0
LVA,C222,T,2019,1394.1,0
LTU,C222,T,2018,3679.7,0
LTU,C222,T,2019,3066.4,0
MEX,C222,T,2012,298195.92,0
MEX,C222,T,2013,294873.48,0
MEX,C222,T,2014,292683.6,0
MEX,C222,T,2015,292790.52,0
MEX,C222,T,2016,292897.44,0
MEX,C222,T,2017,293119.2,0
MEX,C222,T,2018,292679.64,0
MEX,C222,T,2019,292948.92,0
MEX,C222,T,2020,294105.24,0
NLD,C222,T,2012,33067.3,0
NLD,C222,T,2013,32039.2,0
NLD,C222,T,2014,39724.8,0
NLD,C222,T,2015,36234.1,0
NLD,C222,T,2016,35506.4,0
NLD,C222,T,2017,36416.3,0
NLD,C222,T,2018,29024.9,0
NLD,C222,T,2019,30779.6,0
NZL,C222,T,2012,200375.812,0
NZL,C222,T,2013,197717.708,0
NZL,C222,T,2014,197171.006,0
NZL,C222,T,2015,191666.279,0
NZL,C222,T,2016,188631.139,0
NZL,C222,T,2017,190262.304,0
NZL,C222,T,2018,186923.376,0
NZL,C222,T,2019,183452.4,0
NZL,C222,T,2020,180207.792,0
NZL,C222,T,2021,178924.0,0
POL,C222,T,2012,46213.1,0
POL,C222,T,2013,45671.4,0
POL,C222,T,2014,45928.1,0
POL,C222,T,2015,34098.3,0
POL,C222,T,2016,45725.0,0
POL,C222,T,2017,48553.6,0
POL,C222,T,2018,40961.0,0
POL,C222,T,2019,38817.5,0
PRT,C222,T,2012,6714.4,0
PRT,C222,T,2013,6744.1,0
PRT,C222,T,2014,6818.8,0
PRT,C222,T,2015,6893.5,0
PRT,C222,T,2016,6968.2,0
PRT,C222,T,2017,6968.2,0
PRT,C222,T,2018,6968.2,0
PRT,C222,T,2019,6968.2,0
SVK,C222,T,2012,2083.4,0
SVK,C222,T,2013,2078.4,0
SVK,C222,T,2014,2069.0,0
SVK,C222,T,2015,2106.3,0
SVK,C222,T,2016,2109.8,0
SVK,C222,T,2017,2094.5,0
SVN,C222,T,2012,4259.9,0
SVN,C222,T,2013,3912.1,0
SVN,C222,T,2014,5288.0,0
SVN,C222,T,2015,5331.4,0
SVN,C222,T,2016,5395.5,0
SVN,C222,T,2017,4090.2,0
SVN,C222,T,2018,5297.8,0
SVN,C222,T,2019,5327.4,0
ESP,C222,T,2012,38260.9,0
ESP,C222,T,2013,38164.7,0
ESP,C222,T,2014,38585.7,0
ESP,C222,T,2015,38945.7,0
ESP,C222,T,2016,35109.7,0
ESP,C222,T,2017,35240.9,0
SWE,C222,T,2012,1163.1,0
SWE,C222,T,2013,1169.2,0
SWE,C222,T,2014,1150.2,0
SWE,C222,T,2015,1187.6,0
SWE,C222,T,2016,1193.1,0
SWE,C222,T,2017,1196.4,0
SWE,C222,T,2018,1201.6,0
SWE,C222,T,2019,1217.8,0
CHE,C222,T,2012,16737.1,0
CHE,C222,T,2013,15036.4,0
CHE,C222,T,2014,16279.8,0
CHE,C222,T,2015,14772.9,0
CHE,C222,T,2016,15371.7,0
CHE,C222,T,2017,16272.2,0
CHE,C222,T,2018,13992.6,0
CHE,C222,T,2019,14687.6,0
TUR,C222,T,2012,84411.367,0
TUR,C222,T,2013,84411.367,0
TUR,C222,T,2014,84411.367,0
TUR,C222,T,2015,84411.367,0
TUR,C222,T,2016,84411.367,0
TUR,C222,T,2017,84413.175,0
TUR,C222,T,2018,84413.175,0
TUR,C222,T,2019,84413.175,0
TUR,C222,T,2020,84413.175,0
TUR,C222,T,2021,84413.175,0
GBR,C222,T,2012,107781.0,0
GBR,C222,T,2013,106281.0,0
GBR,C222,T,2014,111156.0,0
GBR,C222,T,2015,111347.0,0
GBR,C222,T,2016,113771.0,0
GBR,C222,T,2017,110726.0,0
USA,C222,T,2012,679139.964,0
USA,C222,T,2013,679139.964,0
USA,C222,T,2014,679139.964,0
USA,C222,T,2015,679139.964,0
USA,C222,T,2016,679139.964,0
USA,C222,T,2017,679139.964,0
USA,C222,T,2018,679139.964,0
USA,C222,T,2019,679139.964,0
ARG,C222,T,2012,391862.325,0
ARG,C222,T,2013,391862.325,0
ARG,C222,T,2014,391862.325,0
ARG,C222,T,2015,391863.618,0
ARG,C222,T,2016,391864.912,0
ARG,C222,T,2017,391866.205,0
ARG,C222,T,2018,391866.205,0
ARG,C222,T,2019,391867.498,0
ARG,C222,T,2020,391868.791,0
BRA,C222,T,2012,624740.559,0
BRA,C222,T,2013,626401.307,0
BRA,C222,T,2014,628062.054,0
BRA,C222,T,2015,629722.802,0
BRA,C222,T,2016,631383.55,0
BRA,C222,T,2017,633044.297,0
BRA,C222,T,2018,633044.301,0
BRA,C222,T,2019,633044.301,0
BRA,C222,T,2020,633044.301,0
CHN,C222,T,2012,1434472.634,0
CHN,C222,T,2013,1434472.634,0
CHN,C222,T,2014,1434472.634,0
CHN,C222,T,2015,1434472.634,0
CHN,C222,T,2016,1434472.634,0
CHN,C222,T,2017,1434472.634,0
CHN,C222,T,2018,1434472.634,0
CHN,C222,T,2019,1434472.634,0
CHN,C222,T,2020,1434472.634,0
HRV,C222,T,2012,1515.0,0
HRV,C222,T,2013,2080.1,0
HRV,C222,T,2014,1996.4,0
HRV,C222,T,2015,1773.2,0
HRV,C222,T,2016,1841.4,0
HRV,C222,T,2017,1894.1,0
HRV,C222,T,2018,2610.2,0
HRV,C222,T,2019,3013.2,0
IND,C222,T,2012,37596.874,0
IND,C222,T,2013,37450.81,0
IND,C222,T,2014,37483.674,0
IND,C222,T,2015,37472.719,0
IND,C222,T,2016,37469.068,0
IND,C222,T,2017,37759.253,0
IND,C222,T,2018,37748.974,0
IND,C222,T,2019,37888.529,0
IND,C222,T,2020,37889.002,0
IDN,C222,T,2012,40167.6,0
IDN,C222,T,2013,40167.6,0
IDN,C222,T,2014,40167.6,0
IDN,C222,T,2015,40167.6,0
IDN,C222,T,2016,40167.6,0
IDN,C222,T,2017,40167.6,0
IDN,C222,T,2018,40167.6,0
IDN,C222,T,2019,40167.6,0
IDN,C222,T,2020,40167.6,0
KAZ,C222,T,2012,684866.344,0
KAZ,C222,T,2013,684557.784,0
KAZ,C222,T,2014,683569.296,0
KAZ,C222,T,2015,681120.533,0
KAZ,C222,T,2016,680906.184,0
KAZ,C222,T,2017,680748.435,0
KAZ,C222,T,2018,679767.615,0
KAZ,C222,T,2019,673588.742,0
KAZ,C222,T,2020,673055.609,0
PHL,C222,T,2012,5477.4,0
PHL,C222,T,2013,5477.4,0
PHL,C222,T,2014,5477.4,0
PHL,C222,T,2015,5477.4,0
PHL,C222,T,2016,5477.4,0
PHL,C222,T,2017,5477.4,0
PHL,C222,T,2018,5477.4,0
PHL,C222,T,2019,5477.4,0
PHL,C222,T,2020,5477.4,0
ROU,C222,T,2015,25363.0,0
ROU,C222,T,2016,24631.8,0
ROU,C222,T,2017,24081.7,0
ROU,C222,T,2018,51213.5,0
ROU,C222,T,2019,53515.3,0
RUS,C222,T,2012,336137.083,0
RUS,C222,T,2013,336137.083,0
RUS,C222,T,2014,336137.083,0
RUS,C222,T,2015,336137.083,0
RUS,C222,T,2016,336137.083,0
RUS,C222,T,2017,336137.083,0
RUS,C222,T,2018,336137.083,0
RUS,C222,T,2019,336137.083,0
RUS,C222,T,2020,336137.083,0
ZAF,C222,T,2012,306471.485,0
ZAF,C222,T,2013,306471.485,0
ZAF,C222,T,2014,306471.485,0
ZAF,C222,T,2015,306471.485,0
ZAF,C222,T,2016,306471.485,0
ZAF,C222,T,2017,306471.485,0
ZAF,C222,T,2018,306471.485,0
ZAF,C222,T,2019,306471.485,0
ZAF,C222,T,2020,306471.485,0
UKR,C222,T,2012,28792.866,0
UKR,C222,T,2013,28683.318,0
UKR,C222,T,2014,28657.757,0
UKR,C222,T,2015,28632.196,0
UKR,C222,T,2016,28635.847,0
UKR,C222,T,2017,28559.164,0
UKR,C222,T,2018,27668.173,0
UKR,C222,T,2019,27511.154,0
UKR,C222,T,2020,27511.154,0
VNM,C222,T,2012,2344.327,0
VNM,C222,T,2013,2344.327,0
VNM,C222,T,2014,2344.327,0
VNM,C222,T,2015,2344.327,0
VNM,C222,T,2016,2344.327,0
VNM,C222,T,2017,2344.327,0
VNM,C222,T,2018,2344.327,0
VNM,C222,T,2019,2344.327,0
VNM,C222,T,2020,2344.327,0
AUS,C221,T,2012,10695.727,0
AUS,C221,T,2013,10947.924,0
AUS,C221,T,2014,12541.147,0
AUS,C221,T,2015,13162.363,0
AUS,C221,T,2016,16894.068,0
AUS,C221,T,2017,10748.561,0
AUS,C221,T,2018,17530.564,0
AUS,C221,T,2019,20280.829,0
AUS,C221,T,2020,21902.794,0
AUT,C221,T,2012,5394.2,0
AUT,C221,T,2013,5313.7,0
AUT,C221,T,2014,5512.6,0
AUT,C221,T,2015,5156.2,0
AUT,C221,T,2016,5865.1,0
AUT,C221,T,2017,4804.2,0
AUT,C221,T,2018,4797.6,0
AUT,C221,T,2019,4987.3,0
CAN,C221,T,2012,96272.908,0
CAN,C221,T,2013,102064.197,0
CAN,C221,T,2014,96816.531,0
CAN,C221,T,2015,85307.175,0
CAN,C221,T,2016,101946.329,0
CAN,C221,T,2017,100066.236,0
CAN,C221,T,2018,90818.526,0
CAN,C221,T,2019,89734.243,0
CAN,C221,T,2020,78996.191,0
CZE,C221,T,2012,7853.5,0
CZE,C221,T,2013,7195.1,0
CZE,C221,T,2014,8832.7,0
CZE,C221,T,2015,6848.2,0
CZE,C221,T,2016,9033.0,0
CZE,C221,T,2017,7501.1,0
CZE,C221,T,2018,6667.0,0
CZE,C221,T,2019,8143.1,0
EST,C221,T,2012,2743.6,0
FIN,C221,T,2015,8029.8,0
FIN,C221,T,2016,8257.3,0
FIN,C221,T,2017,6840.9,0
FIN,C221,T,2018,7367.1,0
FIN,C221,T,2019,9345.9,0
FRA,C221,T,2012,45772.1,0
FRA,C221,T,2013,46264.7,0
FRA,C221,T,2014,50745.9,0
FRA,C221,T,2015,46074.5,0
FRA,C221,T,2016,45927.4,0
FRA,C221,T,2017,53073.3,0
FRA,C221,T,2018,50329.6,0
FRA,C221,T,2019,49633.4,0
DEU,C221,T,2012,68926.8,0
DEU,C221,T,2013,57647.3,0
DEU,C221,T,2014,73290.5,0
DEU,C221,T,2015,65106.4,0
DEU,C221,T,2016,81940.93,0
DEU,C221,T,2017,88024.82,0
DEU,C221,T,2018,81416.8,0
DEU,C221,T,2019,93727.4,0
HUN,C221,T,2012,3109.6,0
HUN,C221,T,2013,3638.8,0
HUN,C221,T,2014,3872.8,0
HUN,C221,T,2015,3524.7,0
HUN,C221,T,2016,5041.6,0
HUN,C221,T,2017,4589.6,0
ISL,C221,T,2012,646.087,0
ISL,C221,T,2013,668.066,0
ISL,C221,T,2014,800.074,0
ISL,C221,T,2015,678.0,0
ISL,C221,T,2016,745.8,0
ISL,C221,T,2017,847.0,0
ISL,C221,T,2018,715.4,0
ISL,C221,T,2019,630.0,0
ISL,C221,T,2020,630.0,0
ISL,C221,T,2021,630.0,0
JPN,C221,T,2012,5248.627,0
JPN,C221,T,2013,5205.117,0
JPN,C221,T,2014,5196.337,0
JPN,C221,T,2015,5164.957,0
JPN,C221,T,2016,4594.187,0
KOR,C221,T,2012,4406.306,0
KOR,C221,T,2013,4444.55,0
KOR,C221,T,2014,4656.398,0
KOR,C221,T,2015,4503.691,0
KOR,C221,T,2016,4316.454,0
KOR,C221,T,2017,3956.723,0
KOR,C221,T,2018,4554.966,0
KOR,C221,T,2019,4930.252,0
KOR,C221,T,2020,5400.414,0
LVA,C221,T,2016,747.2,0
LVA,C221,T,2017,564.9,0
LVA,C221,T,2018,2555.1,0
LVA,C221,T,2019,3167.9,0
LTU,C221,T,2018,11619.9,0
LTU,C221,T,2019,12182.2,0
MEX,C221,T,2012,74335.965,0
MEX,C221,T,2013,75999.913,0
MEX,C221,T,2014,76111.117,0
MEX,C221,T,2015,78072.337,0
MEX,C221,T,2016,79506.57,0
MEX,C221,T,2017,80298.259,0
MEX,C221,T,2018,79165.799,0
MEX,C221,T,2019,80318.055,0
MEX,C221,T,2020,80820.359,0
NLD,C221,T,2012,6872.8,0
NLD,C221,T,2013,6343.1,0
NLD,C221,T,2014,7420.9,0
NLD,C221,T,2015,6658.7,0
NLD,C221,T,2016,6166.2,0
NLD,C221,T,2017,6139.8,0
NLD,C221,T,2018,5444.7,0
NLD,C221,T,2019,5006.1,0
NOR,C221,T,2012,7038.0,0
NOR,C221,T,2013,6320.0,0
NOR,C221,T,2014,7341.0,0
NOR,C221,T,2015,7863.0,0
NOR,C221,T,2016,7453.0,0
POL,C221,T,2012,17849.7,0
POL,C221,T,2013,16433.8,0
POL,C221,T,2014,18185.7,0
POL,C221,T,2015,17267.9,0
POL,C221,T,2016,21178.3,0
POL,C221,T,2017,20538.7,0
POL,C221,T,2018,17680.0,0
POL,C221,T,2019,17001.7,0
PRT,C221,T,2012,8288.8,0
PRT,C221,T,2013,10340.0,0
PRT,C221,T,2014,10328.0,0
PRT,C221,T,2015,9075.5,0
PRT,C221,T,2016,7099.6,0
PRT,C221,T,2017,6862.5,0
PRT,C221,T,2018,6896.5,0
PRT,C221,T,2019,6896.5,0
SVK,C221,T,2012,3612.2,0
SVK,C221,T,2013,2906.4,0
SVK,C221,T,2014,3285.7,0
SVK,C221,T,2015,2703.3,0
SVK,C221,T,2016,3303.7,0
SVK,C221,T,2017,2536.6,0
SVK,C221,T,2018,1408.8,0
SVK,C221,T,2019,1383.1,0
SVN,C221,T,2012,872.4,0
SVN,C221,T,2013,746.7,0
SVN,C221,T,2014,1142.2,0
SVN,C221,T,2015,1207.4,0
SVN,C221,T,2016,1261.1,0
SVN,C221,T,2017,1036.1,0
SVN,C221,T,2018,1256.8,0
SVN,C221,T,2019,1207.7,0
ESP,C221,T,2012,17068.8,0
ESP,C221,T,2013,18839.1,0
ESP,C221,T,2014,18726.0,0
ESP,C221,T,2015,16899.0,0
ESP,C221,T,2016,74936.9,0
ESP,C221,T,2017,59309.4,0
SWE,C221,T,2012,12680.7,0
SWE,C221,T,2013,12185.1,0
SWE,C221,T,2014,14157.0,0
SWE,C221,T,2015,14022.1,0
SWE,C221,T,2016,13294.7,0
SWE,C221,T,2017,13836.1,0
SWE,C221,T,2018,10808.1,0
SWE,C221,T,2019,15146.8,0
CHE,C221,T,2012,1360.0,0
CHE,C221,T,2013,1305.2,0
CHE,C221,T,2014,1416.0,0
CHE,C221,T,2015,1297.4,0
CHE,C221,T,2016,1397.9,0
CHE,C221,T,2017,1535.1,0
CHE,C221,T,2018,1516.8,0
CHE,C221,T,2019,1586.6,0
TUR,C221,T,2012,59398.3,0
TUR,C221,T,2013,66044.545,0
TUR,C221,T,2014,68704.325,0
TUR,C221,T,2015,71510.163,0
TUR,C221,T,2016,78325.562,0
TUR,C221,T,2017,85515.602,0
TUR,C221,T,2018,86298.328,0
TUR,C221,T,2019,89690.384,0
TUR,C221,T,2020,95592.711,0
TUR,C221,T,2021,96195.81,0
GBR,C221,T,2012,3835.0,0
GBR,C221,T,2013,4729.0,0
GBR,C221,T,2014,4461.0,0
GBR,C221,T,2015,4544.0,0
GBR,C221,T,2016,4712.0,0
GBR,C221,T,2017,4800.7,0
USA,C221,T,2012,342686.64,0
USA,C221,T,2013,360228.273,0
USA,C221,T,2014,388867.951,0
USA,C221,T,2015,382605.091,0
USA,C221,T,2016,378260.239,0
USA,C221,T,2017,376558.379,0
USA,C221,T,2018,358034.285,0
USA,C221,T,2019,386047.696,0
BGR,C221,T,2019,382.2,0
HRV,C221,T,2012,1071.0,0
HRV,C221,T,2013,1434.7,0
HRV,C221,T,2014,1245.9,0
HRV,C221,T,2015,1354.0,0
HRV,C221,T,2016,1766.0,0
HRV,C221,T,2017,1377.6,0
HRV,C221,T,2018,1542.5,0
HRV,C221,T,2019,1573.4,0
ROU,C221,T,2015,7707.0,0
ROU,C221,T,2016,7240.4,0
ROU,C221,T,2017,7904.0,0
ROU,C221,T,2018,9093.6,0
ROU,C221,T,2019,7853.8,0
AUS,C222,T,2012,2808175.927,0
AUS,C222,T,2013,3062576.636,0
AUS,C222,T,2014,2622815.813,0
AUS,C222,T,2015,2600413.857,0
AUS,C222,T,2016,2500648.005,0
AUS,C222,T,2017,2708503.467,0
AUS,C222,T,2018,2671000.252,0
AUS,C222,T,2019,2753240.54,0
AUS,C222,T,2020,2723072.68,0
AUT,C222,T,2012,94533.7,0
AUT,C222,T,2013,80822.5,0
AUT,C222,T,2014,96181.2,0
AUT,C222,T,2015,91998.1,0
