REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
BGR,C000,T,2016,0.0,0
BGR,C000,T,2016,0.0,0
BGR,C000,T,2017,0.0,0
BGR,C000,T,2017,0.0,0
BGR,C000,T,2018,0.0,0
BGR,C000,T,2018,0.0,0
BGR,C000,T,2019,0.0,0
BGR,C000,T,2019,0.0,0
MLT,C211,T,2012,0.0,0
MLT,C217,T,2012,0.0,0
MLT,C213,T,2012,0.0,0
MLT,C213,T,2013,0.0,0
MLT,C217,T,2013,0.0,0
MLT,C211,T,2013,0.0,0
MLT,C211,T,2014,0.0,0
MLT,C217,T,2014,0.0,0
MLT,C213,T,2014,0.0,0
LUX,C217,T,2012,128.0,0
LUX,C213,T,2012,2.0,0
LUX,C211,T,2012,553.0,0
LUX,C211,T,2013,626.0,0
LUX,C213,T,2013,4.0,0
LUX,C217,T,2013,128.0,0
LUX,C217,T,2014,131.0,0
LUX,C213,T,2014,4.0,0
LUX,C211,T,2014,608.0,0
LTU,C213,T,2012,415.0,0
LTU,C217,T,2012,1.0,0
LTU,C211,T,2012,17441.0,0
LTU,C211,T,2013,16749.0,0
LTU,C217,T,2013,1.0,0
LTU,C213,T,2013,466.0,0
LTU,C213,T,2014,1045.0,0
LTU,C217,T,2014,2.0,0
LTU,C211,T,2014,19228.0,0
FIN,C211,T,2012,10958.8,0
FIN,C217,T,2012,614.1,0
FIN,C213,T,2012,123.5,0
FIN,C213,T,2013,109.5,0
FIN,C217,T,2013,649.5,0
FIN,C211,T,2013,12028.0,0
FIN,C211,T,2014,12211.6,0
FIN,C217,T,2014,524.3,0
FIN,C213,T,2014,137.8,0
ROU,C213,T,2012,653.0,0
ROU,C217,T,2012,15698.0,0
ROU,C211,T,2012,46369.0,0
ROU,C211,T,2013,74021.0,0
ROU,C217,T,2013,23915.0,0
ROU,C213,T,2013,767.0,0
ROU,C213,T,2014,739.0,0
ROU,C217,T,2014,25021.0,0
ROU,C211,T,2014,78087.0,0
