REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
CZE,M23,T,2012,0.0,0
CZE,M23,T,2013,0.0,0
CZE,M23,T,2014,0.0,0
CZE,M23,T,2015,0.0,0
CZE,M23,T,2016,0.0,0
CZE,M23,T,2017,0.0,0
FIN,M23,T,2015,0.0,0
FIN,M23,T,2016,0.0,0
FIN,M23,T,2017,0.0,0
FIN,M23,T,2018,0.0,0
FIN,M23,T,2019,0.0,0
HUN,M23,T,2012,0.0,0
HUN,M23,T,2013,0.0,0
HUN,M23,T,2014,0.0,0
HUN,M23,T,2015,0.0,0
HUN,M23,T,2016,0.0,0
HUN,M23,T,2017,0.0,0
IRL,M23,T,2012,0.0,0
IRL,M23,T,2013,0.0,0
IRL,M23,T,2014,0.0,0
IRL,M23,T,2015,0.0,0
IRL,M23,T,2016,0.0,0
IRL,M23,T,2017,0.0,0
ITA,M23,T,2016,0.0,0
ITA,M23,T,2017,0.0,0
LVA,M23,T,2016,0.0,0
LVA,M23,T,2017,0.0,0
NOR,M23,T,2012,0.0,0
NOR,M23,T,2013,0.0,0
NOR,M23,T,2014,0.0,0
NOR,M23,T,2015,0.0,0
NOR,M23,T,2016,0.0,0
POL,M23,T,2012,0.0,0
POL,M23,T,2013,0.0,0
POL,M23,T,2014,0.0,0
POL,M23,T,2015,0.0,0
POL,M23,T,2016,0.0,0
POL,M23,T,2017,0.0,0
POL,M23,T,2018,0.0,0
POL,M23,T,2019,0.0,0
PRT,M23,T,2012,0.0,0
PRT,M23,T,2013,0.0,0
PRT,M23,T,2014,0.0,0
PRT,M23,T,2015,0.0,0
PRT,M23,T,2016,0.0,0
PRT,M23,T,2017,0.0,0
PRT,M23,T,2018,0.0,0
PRT,M23,T,2019,0.0,0
SVK,M23,T,2012,0.0,0
SVK,M23,T,2013,0.0,0
SVK,M23,T,2014,0.0,0
SVK,M23,T,2015,0.0,0
SVK,M23,T,2016,0.0,0
SVK,M23,T,2017,0.0,0
SVN,M23,T,2012,0.0,0
SVN,M23,T,2013,0.0,0
SVN,M23,T,2014,0.0,0
SVN,M23,T,2015,0.0,0
SVN,M23,T,2016,0.0,0
SVN,M23,T,2017,0.0,0
SVN,M23,T,2018,0.0,0
SVN,M23,T,2019,0.0,0
ESP,M23,T,2012,0.0,0
ESP,M23,T,2013,0.0,0
ESP,M23,T,2014,0.0,0
ESP,M23,T,2015,0.0,0
ESP,M23,T,2016,0.0,0
ESP,M23,T,2017,0.0,0
SWE,M23,T,2012,0.0,0
SWE,M23,T,2013,0.0,0
SWE,M23,T,2014,0.0,0
SWE,M23,T,2015,0.0,0
SWE,M23,T,2016,0.0,0
SWE,M23,T,2017,0.0,0
SWE,M23,T,2018,0.0,0
SWE,M23,T,2019,0.0,0
GBR,M23,T,2012,0.0,0
GBR,M23,T,2013,0.0,0
GBR,M23,T,2014,0.0,0
GBR,M23,T,2015,0.0,0
GBR,M23,T,2016,0.0,0
GBR,M23,T,2017,0.0,0
BGR,M23,T,2017,0.0,0
HRV,M23,T,2012,0.0,0
HRV,M23,T,2013,0.0,0
HRV,M23,T,2014,0.0,0
HRV,M23,T,2015,0.0,0
HRV,M23,T,2016,0.0,0
HRV,M23,T,2017,0.0,0
ROU,M23,T,2015,0.0,0
ROU,M23,T,2016,0.0,0
CZE,M23,T,2012,0.0,0
CZE,M23,T,2013,0.0,0
CZE,M23,T,2014,0.0,0
CZE,M23,T,2015,0.0,0
CZE,M23,T,2016,0.0,0
CZE,M23,T,2017,0.0,0
FIN,M23,T,2015,0.0,0
FIN,M23,T,2016,0.0,0
FIN,M23,T,2017,0.0,0
FIN,M23,T,2018,0.0,0
FIN,M23,T,2019,0.0,0
HUN,M23,T,2012,0.0,0
HUN,M23,T,2013,0.0,0
HUN,M23,T,2014,0.0,0
HUN,M23,T,2015,0.0,0
HUN,M23,T,2016,0.0,0
HUN,M23,T,2017,0.0,0
IRL,M23,T,2012,0.0,0
IRL,M23,T,2013,0.0,0
IRL,M23,T,2014,0.0,0
IRL,M23,T,2015,0.0,0
IRL,M23,T,2016,0.0,0
IRL,M23,T,2017,0.0,0
NOR,M23,T,2012,0.0,0
NOR,M23,T,2013,0.0,0
NOR,M23,T,2014,0.0,0
NOR,M23,T,2015,0.0,0
NOR,M23,T,2016,0.0,0
POL,M23,T,2012,0.0,0
POL,M23,T,2013,0.0,0
POL,M23,T,2014,0.0,0
POL,M23,T,2015,0.0,0
POL,M23,T,2016,0.0,0
POL,M23,T,2017,0.0,0
POL,M23,T,2018,0.0,0
POL,M23,T,2019,0.0,0
PRT,M23,T,2012,0.0,0
PRT,M23,T,2013,0.0,0
PRT,M23,T,2014,0.0,0
PRT,M23,T,2015,0.0,0
PRT,M23,T,2016,0.0,0
PRT,M23,T,2017,0.0,0
PRT,M23,T,2018,0.0,0
PRT,M23,T,2019,0.0,0
SVK,M23,T,2012,0.0,0
SVK,M23,T,2013,0.0,0
SVK,M23,T,2014,0.0,0
SVK,M23,T,2015,0.0,0
SVK,M23,T,2016,0.0,0
SVN,M23,T,2012,0.0,0
SVN,M23,T,2013,0.0,0
SVN,M23,T,2014,0.0,0
SVN,M23,T,2015,0.0,0
SVN,M23,T,2016,0.0,0
SVN,M23,T,2017,0.0,0
SVN,M23,T,2018,0.0,0
SVN,M23,T,2019,0.0,0
ESP,M23,T,2012,0.0,0
ESP,M23,T,2013,0.0,0
ESP,M23,T,2014,0.0,0
ESP,M23,T,2015,0.0,0
ESP,M23,T,2016,0.0,0
ESP,M23,T,2017,0.0,0
SWE,M23,T,2012,0.0,0
SWE,M23,T,2013,0.0,0
SWE,M23,T,2014,0.0,0
SWE,M23,T,2015,0.0,0
SWE,M23,T,2016,0.0,0
SWE,M23,T,2017,0.0,0
SWE,M23,T,2018,0.0,0
SWE,M23,T,2019,0.0,0
GBR,M23,T,2012,0.0,0
GBR,M23,T,2013,0.0,0
GBR,M23,T,2014,0.0,0
GBR,M23,T,2015,0.0,0
GBR,M23,T,2016,0.0,0
GBR,M23,T,2017,0.0,0
HRV,M23,T,2012,0.0,0
HRV,M23,T,2013,0.0,0
HRV,M23,T,2014,0.0,0
HRV,M23,T,2015,0.0,0
HRV,M23,T,2016,0.0,0
HRV,M23,T,2017,0.0,0
ROU,M23,T,2015,0.0,0
ROU,M23,T,2016,0.0,0
FIN,M21,T,2015,0.0,0
FIN,M21,T,2016,0.0,0
FIN,M21,T,2017,0.0,0
FIN,M21,T,2018,0.0,0
FIN,M21,T,2019,0.0,0
FRA,M21,T,2012,0.0,0
FRA,M21,T,2013,0.0,0
FRA,M21,T,2014,0.0,0
FRA,M21,T,2015,0.0,0
FRA,M21,T,2016,0.0,0
FRA,M21,T,2017,0.0,0
FRA,M21,T,2018,0.0,0
FRA,M21,T,2019,0.0,0
HUN,M21,T,2012,0.0,0
HUN,M21,T,2013,0.0,0
HUN,M21,T,2014,0.0,0
HUN,M21,T,2015,0.0,0
HUN,M21,T,2016,0.0,0
HUN,M21,T,2017,0.0,0
IRL,M21,T,2012,0.0,0
IRL,M21,T,2013,0.0,0
IRL,M21,T,2014,0.0,0
IRL,M21,T,2015,0.0,0
IRL,M21,T,2016,0.0,0
IRL,M21,T,2017,0.0,0
NOR,M21,T,2012,0.0,0
NOR,M21,T,2013,0.0,0
NOR,M21,T,2014,0.0,0
NOR,M21,T,2015,0.0,0
NOR,M21,T,2016,0.0,0
POL,M21,T,2012,0.0,0
POL,M21,T,2013,0.0,0
POL,M21,T,2014,0.0,0
POL,M21,T,2015,0.0,0
POL,M21,T,2016,0.0,0
POL,M21,T,2017,0.0,0
POL,M21,T,2018,0.0,0
POL,M21,T,2019,0.0,0
PRT,M21,T,2012,0.0,0
PRT,M21,T,2013,0.0,0
PRT,M21,T,2014,0.0,0
PRT,M21,T,2015,0.0,0
PRT,M21,T,2016,0.0,0
PRT,M21,T,2017,0.0,0
PRT,M21,T,2018,0.0,0
PRT,M21,T,2019,0.0,0
SVK,M21,T,2012,0.0,0
SVK,M21,T,2013,0.0,0
SVK,M21,T,2014,0.0,0
SVK,M21,T,2015,0.0,0
SVK,M21,T,2016,0.0,0
SVN,M21,T,2012,0.0,0
SVN,M21,T,2013,0.0,0
SVN,M21,T,2014,0.0,0
SVN,M21,T,2015,0.0,0
SVN,M21,T,2016,0.0,0
