REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
MLT,B1,T,2012,0.0,0
MLT,B1,T,2013,0.0,0
MLT,B1,T,2014,0.0,0
LUX,C1,T,2012,19.0,0
LUX,C1,T,2013,20.0,0
LUX,C1,T,2014,19.0,0
LTU,C1,T,2012,783.0,0
LTU,C1,T,2013,819.0,0
LTU,C1,T,2014,872.0,0
FIN,C1,T,2012,767.6,0
FIN,C1,T,2013,777.9,0
FIN,C1,T,2014,786.6,0
MLT,C1,T,2012,1.0,0
MLT,C1,T,2013,1.0,0
MLT,C1,T,2014,1.0,0
ROU,C1,T,2012,3734.0,0
ROU,C1,T,2013,3690.0,0
ROU,C1,T,2014,3695.0,0
LVA,C1,T,2012,389.0,0
LVA,C1,T,2013,400.0,0
LVA,C1,T,2014,437.0,0
CYP,C1,T,2012,29.0,0
CYP,C1,T,2013,25.0,0
CYP,C1,T,2014,22.0,0
ITA,C1,T,2012,2425.0,0
ITA,C1,T,2013,2368.0,0
ITA,C1,T,2014,2328.0,0
GRC,C1,T,2012,677.0,0
GRC,C1,T,2013,678.0,0
GRC,C1,T,2014,711.0,0
DNK,C1,T,2012,989.0,0
DNK,C1,T,2013,935.0,0
DNK,C1,T,2014,915.0,0
BGR,C1,T,2012,1280.0,0
BGR,C1,T,2013,1352.0,0
BGR,C1,T,2014,1316.0,0
BEL,C1,T,2012,312.0,0
BEL,C1,T,2013,318.0,0
BEL,C1,T,2014,323.0,0
DNK,B1,T,2012,14008.9,0
DNK,C1,T,2012,5313.1,0
DNK,L111,T,2012,65656.8,0
DNK,L111,T,2013,64333.3,0
DNK,C1,T,2013,5017.8,0
DNK,B1,T,2013,13604.9,0
DNK,B1,T,2014,13459.3,0
DNK,C1,T,2014,4937.9,0
DNK,L111,T,2014,63390.2,0
ITA,L111,T,2012,161742.1,0
ITA,C1,T,2012,13141.0,0
ITA,B1,T,2012,292012.3,0
ITA,B1,T,2013,311188.2,0
ITA,C1,T,2013,12867.7,0
ITA,L111,T,2013,169380.6,0
ITA,L111,T,2014,173682.9,0
ITA,C1,T,2014,12657.6,0
ITA,B1,T,2014,332036.3,0
LTU,C1,T,2012,4273.9,0
LTU,L111,T,2012,26529.8,0
LTU,B1,T,2012,14215.1,0
LTU,B1,T,2013,13946.6,0
LTU,L111,T,2013,24355.7,0
LTU,C1,T,2013,4473.4,0
LTU,C1,T,2014,4755.8,0
LTU,L111,T,2014,24618.0,0
LTU,B1,T,2014,15221.2,0
LUX,C1,T,2012,102.1,0
LUX,B1,T,2012,1130.5,0
LUX,L111,T,2012,2391.5,0
LUX,L111,T,2013,2331.2,0
LUX,B1,T,2013,1123.6,0
LUX,C1,T,2013,106.1,0
LUX,C1,T,2014,102.7,0
LUX,B1,T,2014,1136.4,0
LUX,L111,T,2014,2355.7,0
CYP,L111,T,2012,352.8,0
CYP,C1,T,2012,158.4,0
CYP,B1,T,2012,122.8,0
CYP,B1,T,2013,204.3,0
CYP,C1,T,2013,136.3,0
CYP,L111,T,2013,325.9,0
CYP,L111,T,2014,357.6,0
CYP,C1,T,2014,121.4,0
CYP,B1,T,2014,73.6,0
LVA,L111,T,2012,13401.8,0
LVA,B1,T,2012,31907.8,0
LVA,C1,T,2012,2141.7,0
LVA,C1,T,2013,2201.3,0
LVA,B1,T,2013,32531.7,0
LVA,L111,T,2013,12239.5,0
LVA,L111,T,2014,12633.7,0
LVA,B1,T,2014,32743.1,0
LVA,C1,T,2014,2397.7,0
GRC,B1,T,2012,10077.4,0
GRC,C1,T,2012,3705.2,0
GRC,L111,T,2012,32977.7,0
GRC,L111,T,2013,30336.5,0
GRC,C1,T,2013,3700.8,0
GRC,B1,T,2013,11088.1,0
GRC,B1,T,2014,11261.6,0
GRC,C1,T,2014,3862.2,0
GRC,L111,T,2014,30866.2,0
ROU,B1,T,2012,105884.7,0
ROU,C1,T,2012,20011.4,0
ROU,L111,T,2012,111927.0,0
ROU,L111,T,2013,115258.9,0
ROU,C1,T,2013,19811.6,0
ROU,B1,T,2013,106522.0,0
ROU,B1,T,2014,109284.6,0
ROU,C1,T,2014,19836.0,0
ROU,L111,T,2014,121118.5,0
MLT,C1,T,2012,5.6,0
MLT,L111,T,2012,109.8,0
MLT,L111,T,2013,109.9,0
MLT,C1,T,2013,5.5,0
MLT,C1,T,2014,5.5,0
MLT,L111,T,2014,102.9,0
FIN,L111,T,2012,4658.7,0
FIN,B1,T,2012,5285.5,0
FIN,C1,T,2012,4661.5,0
FIN,C1,T,2013,4719.5,0
FIN,B1,T,2013,4854.2,0
FIN,L111,T,2013,3952.6,0
FIN,L111,T,2014,3763.6,0
FIN,B1,T,2014,5136.0,0
FIN,C1,T,2014,4792.1,0
BGR,B1,T,2012,14023.2,0
BGR,C1,T,2012,6973.0,0
BGR,L111,T,2012,34843.6,0
BGR,L111,T,2013,32769.0,0
BGR,C1,T,2013,7390.9,0
BGR,B1,T,2013,13467.7,0
BGR,B1,T,2014,13202.4,0
BGR,C1,T,2014,7187.8,0
BGR,L111,T,2014,40948.0,0
BEL,B1,T,2012,9422.3,0
BEL,L111,T,2012,22881.6,0
BEL,C1,T,2012,1769.5,0
BEL,C1,T,2013,1804.3,0
BEL,L111,T,2013,21614.9,0
BEL,B1,T,2013,9343.2,0
BEL,B1,T,2014,9310.3,0
BEL,L111,T,2014,21778.4,0
BEL,C1,T,2014,1843.0,0
COL,L111,T,2012,11544.252,0
COL,L111,T,2013,12135.532,0
COL,L111,T,2014,12128.549,0
COL,L111,T,2015,12121.593,0
COL,L111,T,2016,12114.61,0
COL,L111,T,2017,13442.19,0
COL,L111,T,2018,13440.26,0
COL,L111,T,2019,13472.45,0
COL,L111,T,2020,13102.774,0
CRI,L111,T,2012,495.54,0
CRI,L111,T,2013,492.65,0
CRI,L111,T,2014,486.44,0
CRI,L111,T,2015,486.025,0
CRI,L111,T,2016,486.125,0
CRI,L111,T,2017,487.025,0
CRI,L111,T,2018,487.875,0
CRI,L111,T,2019,485.805,0
CRI,L111,T,2020,481.945,0
ISL,L111,T,2012,299.834,0
ISL,L111,T,2013,299.834,0
ISL,L111,T,2014,299.834,0
ISL,L111,T,2015,299.834,0
ISL,L111,T,2016,299.834,0
ISL,L111,T,2017,299.834,0
ISL,L111,T,2018,299.834,0
ISL,L111,T,2019,299.834,0
ISL,L111,T,2020,299.834,0
ISL,L111,T,2021,299.834,0
JPN,L111,T,2012,1252.759,0
JPN,L111,T,2013,1249.084,0
JPN,L111,T,2014,1243.948,0
JPN,L111,T,2015,1237.679,0
JPN,L111,T,2016,1230.857,0
KOR,L111,T,2012,487.862,0
KOR,L111,T,2013,483.073,0
KOR,L111,T,2014,483.987,0
KOR,L111,T,2015,464.328,0
KOR,L111,T,2016,463.616,0
KOR,L111,T,2017,452.959,0
KOR,L111,T,2018,457.995,0
KOR,L111,T,2019,453.244,0
KOR,L111,T,2020,447.902,0
NZL,L111,T,2012,3241.85,0
NZL,L111,T,2013,3211.22,0
NZL,L111,T,2014,3214.96,0
NZL,L111,T,2015,3136.0,0
NZL,L111,T,2016,3085.14,0
NZL,L111,T,2017,3115.09,0
NZL,L111,T,2018,3072.22,0
NZL,L111,T,2019,3013.38,0
NZL,L111,T,2020,2957.44,0
NZL,L111,T,2021,2939.99,0
TUR,L111,T,2012,10788.019,0
TUR,L111,T,2013,10795.469,0
TUR,L111,T,2014,10832.969,0
TUR,L111,T,2015,10832.379,0
TUR,L111,T,2016,10773.969,0
TUR,L111,T,2017,10676.27,0
TUR,L111,T,2018,10635.81,0
TUR,L111,T,2019,10635.81,0
TUR,L111,T,2020,10630.44,0
TUR,L111,T,2021,10720.01,0
USA,L111,T,2012,119840.67,0
USA,L111,T,2013,119459.356,0
USA,L111,T,2014,119958.636,0
USA,L111,T,2015,119482.942,0
USA,L111,T,2016,119552.581,0
USA,L111,T,2017,119552.581,0
USA,L111,T,2018,119989.651,0
USA,L111,T,2019,118350.639,0
