REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
AUT,POP,PS,1990,7677850.0,0
AUT,POP,PS,1991,7754891.0,0
AUT,POP,PS,1992,7840709.0,0
AUT,POP,PS,1993,7905632.0,0
AUT,POP,PS,1994,7936118.0,0
AUT,POP,PS,1995,7948278.0,0
AUT,POP,PS,1996,7959016.0,0
AUT,POP,PS,1997,7968041.0,0
AUT,POP,PS,1998,7976789.0,0
AUT,POP,PS,1999,7992323.0,0
AUT,POP,PS,2000,8011566.0,0
AUT,POP,PS,2001,8042293.0,0
CAN,POP,PS,1990,27691138.0,0
CAN,POP,PS,1991,28037420.0,0
CAN,POP,PS,1992,28371264.0,0
CAN,POP,PS,1993,28684764.0,0
CAN,POP,PS,1994,29000663.0,0
CAN,POP,PS,1995,29302311.0,0
CAN,POP,PS,1996,29610218.0,0
CAN,POP,PS,1997,29905948.0,0
CAN,POP,PS,1998,30155173.0,0
CAN,POP,PS,1999,30401286.0,0
CAN,POP,PS,2000,30685730.0,0
EST,POP,PS,1990,1569174.0,0
EST,POP,PS,1991,1561314.0,0
EST,POP,PS,1992,1533091.0,0
EST,POP,PS,1993,1494128.0,0
EST,POP,PS,1994,1462514.0,0
EST,POP,PS,1995,1436634.0,0
EST,POP,PS,1996,1415594.0,0
EST,POP,PS,1997,1399535.0,0
EST,POP,PS,1998,1386156.0,0
EST,POP,PS,1999,1375654.0,0
EST,POP,PS,2000,1396985.0,0
EST,POP,PS,2001,1388115.0,0
EST,POP,PS,2002,1379350.0,0
EST,POP,PS,2003,1370720.0,0
EST,POP,PS,2004,1362550.0,0
EST,POP,PS,2005,1354775.0,0
EST,POP,PS,2006,1346810.0,0
EST,POP,PS,2007,1340680.0,0
EST,POP,PS,2008,1337090.0,0
EST,POP,PS,2009,1334515.0,0
EST,POP,PS,2010,1331475.0,0
EST,POP,PS,2011,1327439.0,0
EST,POP,PS,2012,1322696.0,0
EST,POP,PS,2013,1317997.0,0
EST,POP,PS,2014,1314545.0,0
EST,POP,PS,2015,1314608.0,0
EST,POP,PS,2016,1315790.0,0
EST,POP,PS,2017,1317384.0,0
EST,POP,PS,2018,1321977.0,0
EST,POP,PS,2019,1326855.0,0
EST,POP,PS,2020,1329479.0,0
EST,POP,PS,2021,1330932.0,0
HUN,POP,PS,1990,10373987.0,0
HUN,POP,PS,1991,10373398.0,0
HUN,POP,PS,1992,10369339.0,0
HUN,POP,PS,1993,10357518.0,0
HUN,POP,PS,1994,10343359.0,0
HUN,POP,PS,1995,10328967.0,0
HUN,POP,PS,1996,10311235.0,0
HUN,POP,PS,1997,10290475.0,0
HUN,POP,PS,1998,10266571.0,0
HUN,POP,PS,1999,10237527.0,0
HUN,POP,PS,2000,10210965.0,0
HUN,POP,PS,2001,10187578.0,0
HUN,POP,PS,2002,10158610.0,0
HUN,POP,PS,2003,10129554.0,0
HUN,POP,PS,2004,10107140.0,0
HUN,POP,PS,2005,10087064.0,0
HUN,POP,PS,2006,10071374.0,0
HUN,POP,PS,2007,10055778.0,0
HUN,POP,PS,2008,10038186.0,0
HUN,POP,PS,2009,10022647.0,0
HUN,POP,PS,2010,10000020.0,0
HUN,POP,PS,2011,9958824.0,0
ISL,POP,PS,1990,254820.0,0
ISL,POP,PS,1991,257795.0,0
ISL,POP,PS,1992,261053.0,0
ISL,POP,PS,1993,263730.0,0
ISL,POP,PS,1994,266021.0,0
ISL,POP,PS,1995,267467.0,0
ISL,POP,PS,1996,268918.0,0
ISL,POP,PS,1997,271130.0,0
ISL,POP,PS,1998,274049.0,0
ISL,POP,PS,1999,277384.0,0
ISL,POP,PS,2000,281200.0,0
ISL,POP,PS,2001,284970.0,0
ISL,POP,PS,2002,287516.0,0
ISL,POP,PS,2003,289522.0,0
ISL,POP,PS,2004,292077.0,0
ISL,POP,PS,2005,296734.0,0
ISL,POP,PS,2006,303784.0,0
ISL,POP,PS,2007,311567.0,0
ISL,POP,PS,2008,317404.0,0
ISL,POP,PS,2009,318501.0,0
ISL,POP,PS,2010,318044.0,0
KOR,POP,PS,1990,42869283.0,0
KOR,POP,PS,1991,43295704.0,0
KOR,POP,PS,1992,43747962.0,0
KOR,POP,PS,1993,44194628.0,0
KOR,POP,PS,1994,44641540.0,0
KOR,POP,PS,1995,45092991.0,0
KOR,POP,PS,1996,45524681.0,0
KOR,POP,PS,1997,45953580.0,0
KOR,POP,PS,1998,46286503.0,0
KOR,POP,PS,1999,46616677.0,0
KOR,POP,PS,2000,47008111.0,0
KOR,POP,PS,2001,47370164.0,0
KOR,POP,PS,2002,47644736.0,0
KOR,POP,PS,2003,47892330.0,0
KOR,POP,PS,2004,48082519.0,0
KOR,POP,PS,2005,48184561.0,0
KOR,POP,PS,2006,48438292.0,0
KOR,POP,PS,2007,48683638.0,0
KOR,POP,PS,2008,49054708.0,0
KOR,POP,PS,2009,49307835.0,0
KOR,POP,PS,2010,49554112.0,0
KOR,POP,PS,2011,49936638.0,0
KOR,POP,PS,2012,50199853.0,0
KOR,POP,PS,2013,50428893.0,0
KOR,POP,PS,2014,50746659.0,0
KOR,POP,PS,2015,51014947.0,0
KOR,POP,PS,2016,51217803.0,0
KOR,POP,PS,2017,51361911.0,0
KOR,POP,PS,2018,51585058.0,0
KOR,POP,PS,2019,51764822.0,0
KOR,POP,PS,2020,51836239.0,0
LVA,POP,PS,1990,2663146.0,0
LVA,POP,PS,1991,2650581.0,0
LVA,POP,PS,1992,2614338.0,0
LVA,POP,PS,1993,2563289.0,0
LVA,POP,PS,1994,2520742.0,0
LVA,POP,PS,1995,2485054.0,0
LVA,POP,PS,1996,2457226.0,0
LVA,POP,PS,1997,2432851.0,0
LVA,POP,PS,1998,2410027.0,0
LVA,POP,PS,1999,2390477.0,0
LVA,POP,PS,2000,2367549.0,0
LVA,POP,PS,2001,2337172.0,0
LVA,POP,PS,2002,2310176.0,0
LVA,POP,PS,2003,2287955.0,0
LVA,POP,PS,2004,2263123.0,0
LVA,POP,PS,2005,2238799.0,0
LVA,POP,PS,2006,2218351.0,0
LVA,POP,PS,2007,2200325.0,0
LVA,POP,PS,2008,2177324.0,0
LVA,POP,PS,2009,2141668.0,0
LVA,POP,PS,2010,2097553.0,0
LVA,POP,PS,2011,2059710.0,0
LVA,POP,PS,2012,2034324.0,0
LVA,POP,PS,2013,2012647.0,0
LVA,POP,PS,2014,1993785.0,0
LVA,POP,PS,2015,1977523.0,0
LVA,POP,PS,2016,1959535.0,0
LVA,POP,PS,2017,1942247.0,0
LVA,POP,PS,2018,1927170.0,0
LVA,POP,PS,2019,1913826.0,0
LVA,POP,PS,2020,1900448.0,0
LVA,POP,PS,2021,1884488.0,0
LTU,POP,PS,1990,3697838.0,0
LTU,POP,PS,1991,3704134.0,0
LTU,POP,PS,1992,3700114.0,0
LTU,POP,PS,1993,3682613.0,0
LTU,POP,PS,1994,3657144.0,0
LTU,POP,PS,1995,3629102.0,0
LTU,POP,PS,1996,3601613.0,0
LTU,POP,PS,1997,3575137.0,0
LTU,POP,PS,1998,3549331.0,0
LTU,POP,PS,1999,3524237.0,0
LTU,POP,PS,2000,3499534.0,0
LTU,POP,PS,2001,3470818.0,0
LTU,POP,PS,2002,3443067.0,0
LTU,POP,PS,2003,3415213.0,0
LTU,POP,PS,2004,3377075.0,0
LTU,POP,PS,2005,3322528.0,0
LTU,POP,PS,2006,3269909.0,0
LTU,POP,PS,2007,3231294.0,0
LTU,POP,PS,2008,3198231.0,0
LTU,POP,PS,2009,3162916.0,0
LTU,POP,PS,2010,3097282.0,0
LTU,POP,PS,2011,3028115.0,0
LTU,POP,PS,2012,2987773.0,0
LTU,POP,PS,2013,2957689.0,0
LTU,POP,PS,2014,2932367.0,0
LTU,POP,PS,2015,2904910.0,0
LTU,POP,PS,2016,2868231.0,0
LTU,POP,PS,2017,2828403.0,0
LTU,POP,PS,2018,2801543.0,0
LTU,POP,PS,2019,2794137.0,0
LTU,POP,PS,2020,2794885.0,0
LTU,POP,PS,2021,2808380.0,0
LUX,POP,PS,1990,381857.0,0
LUX,POP,PS,1991,386999.0,0
LUX,POP,PS,1992,392171.0,0
LUX,POP,PS,1993,397481.0,0
LUX,POP,PS,1994,402921.0,0
LUX,POP,PS,1995,408625.0,0
LUX,POP,PS,1996,414228.0,0
LUX,POP,PS,1997,419440.0,0
LUX,POP,PS,1998,424699.0,0
LUX,POP,PS,1999,430475.0,0
LUX,POP,PS,2000,436303.0,0
LUX,POP,PS,2001,441522.0,0
LUX,POP,PS,2002,446166.0,0
LUX,POP,PS,2003,451626.0,0
LUX,POP,PS,2004,458098.0,0
LUX,POP,PS,2005,465152.0,0
LUX,POP,PS,2006,472641.0,0
LUX,POP,PS,2007,479992.0,0
LUX,POP,PS,2008,488647.0,0
LUX,POP,PS,2009,497783.0,0
LUX,POP,PS,2010,506953.0,0
LUX,POP,PS,2011,518351.0,0
LUX,POP,PS,2012,530952.0,0
LUX,POP,PS,2013,543358.0,0
LUX,POP,PS,2014,556322.0,0
LUX,POP,PS,2015,569605.0,0
LUX,POP,PS,2016,583459.0,0
LUX,POP,PS,2017,596337.0,0
LUX,POP,PS,2018,607950.0,0
LUX,POP,PS,2019,620003.0,0
LUX,POP,PS,2020,630413.0,0
LUX,POP,PS,2021,640064.0,0
POL,POP,PS,1990,38030500.0,0
POL,POP,PS,1991,38108500.0,0
POL,POP,PS,1992,38173500.0,0
POL,POP,PS,1993,38221000.0,0
POL,POP,PS,1994,38252000.0,0
POL,POP,PS,1995,38274500.0,0
POL,POP,PS,1996,38289000.0,0
POL,POP,PS,1997,38292000.0,0
POL,POP,PS,1998,38283500.0,0
POL,POP,PS,1999,38270000.0,0
POL,POP,PS,2001,38248076.0,0
POL,POP,PS,2002,38232301.0,0
POL,POP,PS,2003,38195177.0,0
POL,POP,PS,2004,38180249.0,0
POL,POP,PS,2005,38161313.0,0
POL,POP,PS,2006,38132277.0,0
POL,POP,PS,2007,38115967.0,0
POL,POP,PS,2008,38115909.0,0
POL,POP,PS,2009,38153389.0,0
POL,POP,PS,2010,38516689.0,0
POL,POP,PS,2011,38525670.0,0
POL,POP,PS,2012,38533789.0,0
POL,POP,PS,2013,38502396.0,0
POL,POP,PS,2014,38483957.0,0
POL,POP,PS,2015,38454576.0,0
POL,POP,PS,2016,38426809.0,0
POL,POP,PS,2017,38422346.0,0
POL,POP,PS,2018,38413139.0,0
POL,POP,PS,2019,38386476.0,0
PRT,POP,PS,1990,9983218.0,0
PRT,POP,PS,1991,9960235.0,0
PRT,POP,PS,1992,9952493.5,0
PRT,POP,PS,1993,9964674.5,0
PRT,POP,PS,1994,9991525.0,0
PRT,POP,PS,1995,10026176.0,0
PRT,POP,PS,1997,10108977.0,0
PRT,POP,PS,1998,10160196.0,0
PRT,POP,PS,1999,10217828.0,0
PRT,POP,PS,2000,10289898.0,0
PRT,POP,PS,2003,10458821.0,0
PRT,POP,PS,2004,10483861.0,0
PRT,POP,PS,2005,10503330.0,0
PRT,POP,PS,2006,10522288.0,0
PRT,POP,PS,2010,10573100.0,0
PRT,POP,PS,2016,10356516.0,0
PRT,POP,PS,2017,10340124.0,0
PRT,POP,PS,2018,10334633.0,0
PRT,POP,PS,2020,10384846.0,0
PRT,POP,PS,2021,10407707.0,0
ESP,POP,PS,1990,38860827.0,0
ESP,POP,PS,1991,38941622.0,0
ESP,POP,PS,1992,39147940.0,0
ESP,POP,PS,1993,39356082.0,0
ESP,POP,PS,1994,39547353.0,0
ESP,POP,PS,1995,39718895.0,0
ESP,POP,PS,1996,39884246.0,0
ESP,POP,PS,1997,40049974.0,0
ESP,POP,PS,1998,40214066.0,0
ESP,POP,PS,1999,40369667.0,0
