REF_AREA,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,UNIT_MULT
AUT,TOTFRESHAG,M3,1990,0.0,6
AUT,TOTFRESHAG,M3,1991,0.0,6
AUT,TOTFRESHAG,M3,1992,0.0,6
AUT,TOTFRESHAG,M3,1993,0.0,6
AUT,TOTFRESHAG,M3,1994,0.0,6
AUT,TOTFRESHAG,M3,1995,0.0,6
AUT,TOTFRESHAG,M3,1996,0.0,6
AUT,TOTFRESHAG,M3,1997,0.0,6
AUT,TOTFRESHAG,M3,1998,0.0,6
AUT,TOTFRESHAG,M3,1999,0.0,6
AUT,TOTFRESHAG,M3,2000,0.0,6
AUT,TOTFRESHAG,M3,2001,0.0,6
AUT,TOTFRESHAG,M3,2002,0.0,6
BEL,TOTFRESHAG,M3,1994,0.0,6
DNK,TOTFRESHAG,M3,1990,0.0,6
DNK,TOTFRESHAG,M3,1991,0.0,6
DNK,TOTFRESHAG,M3,1995,0.0,6
LUX,TOTFRESHAG,M3,1995,0.0,6
LUX,TOTFRESHAG,M3,1999,0.0,6
LUX,TOTFRESHAG,M3,2013,0.0,6
POL,TOTFRESHAG,M3,1990,0.0,6
POL,TOTFRESHAG,M3,1991,0.0,6
POL,TOTFRESHAG,M3,1992,0.0,6
POL,TOTFRESHAG,M3,1993,0.0,6
POL,TOTFRESHAG,M3,1994,0.0,6
POL,TOTFRESHAG,M3,1995,0.0,6
POL,TOTFRESHAG,M3,1996,0.0,6
POL,TOTFRESHAG,M3,1997,0.0,6
POL,TOTFRESHAG,M3,1998,0.0,6
POL,TOTFRESHAG,M3,1999,0.0,6
SVN,TOTFRESHAG,M3,1996,0.0,6
AUT,TOTFRESHAG,M3,1990,100000000000000.0,6
AUT,TOTFRESHAG,M3,1991,100000000000000.0,6
AUT,TOTFRESHAG,M3,1992,100000000000000.0,6
AUT,TOTFRESHAG,M3,1993,100000000000000.0,6
AUT,TOTFRESHAG,M3,1994,100000000000000.0,6
AUT,TOTFRESHAG,M3,1995,100000000000000.0,6
AUT,TOTFRESHAG,M3,1996,100000000000000.0,6
AUT,TOTFRESHAG,M3,1997,100000000000000.0,6
AUT,TOTFRESHAG,M3,1998,100000000000000.0,6
AUT,TOTFRESHAG,M3,1999,100000000000000.0,6
AUT,TOTFRESHAG,M3,2000,100000000000000.0,6
AUT,TOTFRESHAG,M3,2001,100000000000000.0,6
AUT,TOTFRESHAG,M3,2002,100000000000000.0,6
BEL,TOTFRESHAG,M3,1994,10000000000000.0,6
BEL,TOTFRESHAG,M3,1995,9200000000000.0,6
BEL,TOTFRESHAG,M3,1996,11100000000000.0,6
BEL,TOTFRESHAG,M3,1997,12400000000000.0,6
BEL,TOTFRESHAG,M3,1998,14400000000000.0,6
BEL,TOTFRESHAG,M3,1999,27300000000000.0,6
BEL,TOTFRESHAG,M3,2016,36211000000000.0,6
BEL,TOTFRESHAG,M3,2017,40190000000000.0,6
BEL,TOTFRESHAG,M3,2018,46285000000000.0,6
BEL,TOTFRESHAG,M3,2019,44123000000000.0,6
BEL,TOTFRESHAG,M3,2020,47936000000000.0,6
CAN,TOTFRESHAG,M3,1990,319000000000000.0,6
CAN,TOTFRESHAG,M3,1991,319000000000000.0,6
CAN,TOTFRESHAG,M3,1995,310890000000000.0,6
COL,TOTFRESHAG,M3,2010,699313000000000.0,6
COL,TOTFRESHAG,M3,2011,716870000000000.0,6
COL,TOTFRESHAG,M3,2012,741171000000000.0,6
COL,TOTFRESHAG,M3,2013,809063000000000.0,6
COL,TOTFRESHAG,M3,2014,838095000000000.0,6
COL,TOTFRESHAG,M3,2015,880162000000000.0,6
COL,TOTFRESHAG,M3,2016,910045000000000.0,6
COL,TOTFRESHAG,M3,2017,964212000000000.0,6
COL,TOTFRESHAG,M3,2018,986401000000000.0,6
COL,TOTFRESHAG,M3,2019,1029775000000000.0,6
COL,TOTFRESHAG,M3,2020,1044780000000000.0,6
CRI,TOTFRESHAG,M3,2008,17100000000000.0,6
CRI,TOTFRESHAG,M3,2009,24402000000000.0,6
CRI,TOTFRESHAG,M3,2010,36600000000000.0,6
CRI,TOTFRESHAG,M3,2011,47068000000000.0,6
CRI,TOTFRESHAG,M3,2012,63101000000000.0,6
CRI,TOTFRESHAG,M3,2013,79056000000000.0,6
CRI,TOTFRESHAG,M3,2014,119000000000000.0,6
CRI,TOTFRESHAG,M3,2015,136024000000000.0,6
CRI,TOTFRESHAG,M3,2016,53193000000000.0,6
CRI,TOTFRESHAG,M3,2017,74318000000000.0,6
CRI,TOTFRESHAG,M3,2018,48093000000000.0,6
CRI,TOTFRESHAG,M3,2019,48561000000000.0,6
CRI,TOTFRESHAG,M3,2020,52381000000000.0,6
CRI,TOTFRESHAG,M3,2021,60723000000000.0,6
CZE,TOTFRESHAG,M3,1990,14000000000000.0,6
CZE,TOTFRESHAG,M3,1995,7000000000000.0,6
CZE,TOTFRESHAG,M3,1996,7000000000000.0,6
CZE,TOTFRESHAG,M3,1997,6000000000000.0,6
CZE,TOTFRESHAG,M3,1998,5300000000000.0,6
CZE,TOTFRESHAG,M3,1999,5400000000000.0,6
CZE,TOTFRESHAG,M3,2000,5200000000000.0,6
CZE,TOTFRESHAG,M3,2001,5100000000000.0,6
CZE,TOTFRESHAG,M3,2002,7300000000000.0,6
CZE,TOTFRESHAG,M3,2003,7400000000000.0,6
CZE,TOTFRESHAG,M3,2004,7800000000000.0,6
CZE,TOTFRESHAG,M3,2005,8500000000000.0,6
CZE,TOTFRESHAG,M3,2006,9700000000000.0,6
CZE,TOTFRESHAG,M3,2007,10500000000000.0,6
CZE,TOTFRESHAG,M3,2008,11300000000000.0,6
CZE,TOTFRESHAG,M3,2009,11300000000000.0,6
CZE,TOTFRESHAG,M3,2010,11500000000000.0,6
CZE,TOTFRESHAG,M3,2011,11700000000000.0,6
CZE,TOTFRESHAG,M3,2012,12100000000000.0,6
CZE,TOTFRESHAG,M3,2013,12900000000000.0,6
CZE,TOTFRESHAG,M3,2014,13300000000000.0,6
CZE,TOTFRESHAG,M3,2015,14000000000000.0,6
CZE,TOTFRESHAG,M3,2016,14100000000000.0,6
CZE,TOTFRESHAG,M3,2017,14700000000000.0,6
CZE,TOTFRESHAG,M3,2018,15300000000000.0,6
CZE,TOTFRESHAG,M3,2019,15300000000000.0,6
CZE,TOTFRESHAG,M3,2020,15600000000000.0,6
CZE,TOTFRESHAG,M3,2021,16100000000000.002,6
DNK,TOTFRESHAG,M3,1990,465000000000000.0,6
DNK,TOTFRESHAG,M3,1991,300000000000000.0,6
DNK,TOTFRESHAG,M3,1995,295000000000000.0,6
DNK,TOTFRESHAG,M3,1996,359000000000000.0,6
DNK,TOTFRESHAG,M3,1997,368700000000000.0,6
DNK,TOTFRESHAG,M3,1998,207900000000000.0,6
DNK,TOTFRESHAG,M3,1999,173900000000000.0,6
DNK,TOTFRESHAG,M3,2000,190100000000000.0,6
DNK,TOTFRESHAG,M3,2001,192100000000000.0,6
DNK,TOTFRESHAG,M3,2002,162100000000000.0,6
DNK,TOTFRESHAG,M3,2003,166600000000000.0,6
DNK,TOTFRESHAG,M3,2004,192700000000000.0,6
DNK,TOTFRESHAG,M3,2005,171500000000000.0,6
DNK,TOTFRESHAG,M3,2006,232500000000000.0,6
DNK,TOTFRESHAG,M3,2007,115800000000000.0,6
DNK,TOTFRESHAG,M3,2008,244300000000000.0,6
DNK,TOTFRESHAG,M3,2009,228600000000000.0,6
DNK,TOTFRESHAG,M3,2011,278360000000000.0,6
DNK,TOTFRESHAG,M3,2012,184600000000000.0,6
DNK,TOTFRESHAG,M3,2013,325950000000000.0,6
DNK,TOTFRESHAG,M3,2014,343920000000000.0,6
DNK,TOTFRESHAG,M3,2015,284340000000000.0,6
DNK,TOTFRESHAG,M3,2016,259780000000000.0,6
DNK,TOTFRESHAG,M3,2017,261550000000000.0,6
DNK,TOTFRESHAG,M3,2018,429190000000000.0,6
DNK,TOTFRESHAG,M3,2019,295540000000000.0,6
DNK,TOTFRESHAG,M3,2020,320530000000000.0,6
DNK,TOTFRESHAG,M3,2021,288550000000000.0,6
EST,TOTFRESHAG,M3,1998,5700000000000.0,6
EST,TOTFRESHAG,M3,1999,4200000000000.0,6
EST,TOTFRESHAG,M3,2000,3900000000000.0,6
EST,TOTFRESHAG,M3,2001,3700000000000.0,6
EST,TOTFRESHAG,M3,2002,3800000000000.0,6
EST,TOTFRESHAG,M3,2003,3800000000000.0,6
EST,TOTFRESHAG,M3,2004,4200000000000.0,6
EST,TOTFRESHAG,M3,2005,4200000000000.0,6
EST,TOTFRESHAG,M3,2006,4500000000000.0,6
EST,TOTFRESHAG,M3,2007,4500000000000.0,6
EST,TOTFRESHAG,M3,2009,4200000000000.0,6
